"","precinct","DEM","DEM_AbsenteebyMail","DEM_AdvanceinPerson","DEM_ElectionDay","DEM_Provisional","REP","REP_AbsenteebyMail","REP_AdvanceinPerson","REP_ElectionDay","REP_Provisional","RodneyStooksbury","RodneyStooksbury_AbsenteebyMail","RodneyStooksbury_AdvanceinPerson","RodneyStooksbury_ElectionDay","RodneyStooksbury_Provisional","TomPrice","TomPrice_AbsenteebyMail","TomPrice_AdvanceinPerson","TomPrice_ElectionDay","TomPrice_Provisional","ballotsCast","totalVoters","COUNTY","PRECINCTS","IDRV","DRV","BC_TV","IDRV_BC","IDRV_TV","DRV_BC","DRV_TV","DEM_IDRV","DEM_DRV","DEM_BC","DEM_TV","REP_IDRV","REP_DRV","REP_BC","REP_TV","DPW","RPW","IPW"
"1","Addison 01",595,39,241,314,1,1056,99,400,555,2,595,39,241,314,1,1056,99,400,555,2,1717,2085,"Cobb",1,1651,1651,82.3501199040767,96.156086196855,79.1846522781775,96.156086196855,79.1846522781775,36.0387643852211,36.0387643852211,34.6534653465347,28.537170263789,63.9612356147789,63.9612356147789,61.5026208503203,50.6474820143885,0,1,0
"2","Bells Ferry 02",733,38,339,354,2,1188,93,419,673,3,733,38,339,354,2,1188,93,419,673,3,2006,2518,"Cobb",1,1921,1921,79.6664019062748,95.7627118644068,76.2907069102462,95.7627118644068,76.2907069102462,38.1572097865695,38.1572097865695,36.5403788634098,29.1104050833995,61.8427902134305,61.8427902134305,59.222333000997,47.1803018268467,0,1,0
"3","Bells Ferry 03",1285,69,634,580,2,2354,219,1130,1004,1,1285,69,634,580,2,2354,219,1130,1004,1,3803,4866,"Cobb",1,3639,3639,78.1545417180436,95.6876150407573,74.7842170160296,95.6876150407573,74.7842170160296,35.3118988733168,35.3118988733168,33.7891138574809,26.4077270859022,64.6881011266832,64.6881011266832,61.8985011832764,48.3764899301274,0,1,0
"4","Blackwell 01",691,36,346,307,2,1002,89,400,513,0,691,36,346,307,2,1002,89,400,513,0,1780,2212,"Cobb",1,1693,1693,80.4701627486438,95.1123595505618,76.5370705244123,95.1123595505618,76.5370705244123,40.8151210868281,40.8151210868281,38.8202247191011,31.2386980108499,59.1848789131719,59.1848789131719,56.2921348314607,45.2983725135624,0,1,0
"5","Chattahoochee 01",1078,55,521,497,5,405,25,148,229,3,1078,55,521,497,5,405,25,148,229,3,3172,4413,"Cobb",1,1483,1483,71.8785406752776,46.7528373266078,33.6052571946522,46.7528373266078,33.6052571946522,72.6904922454484,72.6904922454484,33.984867591425,24.4278268751416,27.3095077545516,27.3095077545516,12.7679697351829,9.17743031951054,1,0,0
"6","Chestnut Ridge 01",578,57,225,296,0,1715,166,489,1059,1,578,57,225,296,0,1715,166,489,1059,1,2390,2768,"Cobb",1,2293,2293,86.3439306358381,95.9414225941423,82.8395953757225,95.9414225941423,82.8395953757225,25.207152202355,25.207152202355,24.18410041841,20.8815028901734,74.792847797645,74.792847797645,71.7573221757322,61.9580924855491,0,1,0
"7","Davis 01",423,30,157,236,0,936,69,266,600,1,423,30,157,236,0,936,69,266,600,1,1419,1743,"Cobb",1,1359,1359,81.4113597246127,95.7716701902748,77.9690189328743,95.7716701902748,77.9690189328743,31.1258278145695,31.1258278145695,29.8097251585624,24.2685025817556,68.8741721854305,68.8741721854305,65.9619450317125,53.7005163511188,0,1,0
"8","Dickerson 01",602,70,207,325,0,1436,135,367,933,1,602,70,207,325,0,1436,135,367,933,1,2142,2537,"Cobb",1,2038,2038,84.4304296413086,95.1447245564893,80.3310997240836,95.1447245564893,80.3310997240836,29.5387634936212,29.5387634936212,28.1045751633987,23.728813559322,70.4612365063788,70.4612365063788,67.0401493930906,56.6022861647615,0,1,0
"9","Dodgen 01",427,42,147,238,0,1106,96,332,676,2,427,42,147,238,0,1106,96,332,676,2,1586,1851,"Cobb",1,1533,1533,85.6834143706105,96.6582597730139,82.8200972447326,96.6582597730139,82.8200972447326,27.8538812785388,27.8538812785388,26.9230769230769,23.0686115613182,72.1461187214612,72.1461187214612,69.7351828499369,59.7514856834144,0,1,0
"10","East Piedmont 01",58,3,25,30,0,178,9,73,96,0,58,3,25,30,0,178,9,73,96,0,1533,1977,"Cobb",1,236,236,77.5417298937785,15.3946510110894,11.9372787051088,15.3946510110894,11.9372787051088,24.5762711864407,24.5762711864407,3.78343118069145,2.93373798684876,75.4237288135593,75.4237288135593,11.6112198303979,9.00354071825999,0,1,0
"11","Eastside 01",626,55,228,342,1,1533,140,440,952,1,626,55,228,342,1,1533,140,440,952,1,2234,2651,"Cobb",1,2159,2159,84.2700867597133,96.6427931960609,81.4409656733308,96.6427931960609,81.4409656733308,28.9949050486336,28.9949050486336,28.0214861235452,23.6137306676726,71.0050949513664,71.0050949513664,68.6213070725157,57.8272350056582,0,1,0
