"","Cobb_1704","DeKalb_1704","Fulton_1704","Total_1704","KEY"
"totalVoters",127947,99249,212713,146636.333333333,"totalVoters"
"PRECINCTS",50,43,115,69.3333333333333,"PRECINCTS"
"IDRV",61229,44299,87041,192569,"IDRV"
"IDRV_TV",47.8549711990121,44.6342028635049,40.9194548523127,44.4695429716099,"IDRV_TV"
"IDRV_BC",99.8629980591392,99.9120393342054,99.9265254577808,99.9005209503751,"IDRV_BC"
"IPW",0,0,0,0,"IPW"
"ballotsCast",61313,44338,87105,192756,"ballotsCast"
"BC_TV",47.9206233831196,44.6734979697528,40.9495423410887,44.5145545646537,"BC_TV"
"DRV",61173,44244,86976,192393,"DRV"
"DRV_TV",47.8112030762738,44.5787866880271,40.8888972465247,44.4262956702752,"DRV_TV"
"DRV_BC",99.7716634318986,99.7879922414182,99.8519028758395,99.8038528497188,"DRV_BC"
"DEM",25649,26377,42175,94201,"DEM"
"DEM_IDRV",41.8902807493181,59.5431048104923,48.4541767672706,49.9625207756937,"DEM_IDRV"
"DEM_DRV",41.9286286433557,59.6171232257481,48.4903881530537,50.0120466740525,"DEM_DRV"
"DEM_BC",41.8328902516595,59.4907302990663,48.4185752827048,49.9140652778102,"DEM_BC"
"DEM_TV",20.0465817877715,26.5765901923445,19.8271849863431,22.1501189888197,"DEM_TV"
"DPW",0,0,0,0,"DPW"
"REP",35524,17867,44801,98192,"REP"
"REP_IDRV",58.0182593215633,40.332738888011,51.4711457818729,49.9407146638157,"REP_IDRV"
"REP_DRV",58.0713713566443,40.3828767742519,51.5096118469463,49.9879533259475,"REP_DRV"
"REP_BC",57.9387731802391,40.2972619423519,51.4333275931347,49.8897875719086,"REP_BC"
"REP_TV",27.7646212885023,18.0021964956826,21.0617122601816,22.2761766814555,"REP_TV"
"RPW",0,0,0,0,"RPW"
