"","precinct","AlexanderHernandez","AlexanderHernandez_AbsenteebyMail","AlexanderHernandez_AdvanceinPerson","AlexanderHernandez_ElectionDay","AlexanderHernandez_Provisional","AmyKremer","AmyKremer_AbsenteebyMail","AmyKremer_AdvanceinPerson","AmyKremer_ElectionDay","AmyKremer_Provisional","AndrePollard","AndrePollard_AbsenteebyMail","AndrePollard_AdvanceinPerson","AndrePollard_ElectionDay","AndrePollard_Provisional","BobGray","BobGray_AbsenteebyMail","BobGray_AdvanceinPerson","BobGray_ElectionDay","BobGray_Provisional","BruceLevell","BruceLevell_AbsenteebyMail","BruceLevell_AdvanceinPerson","BruceLevell_ElectionDay","BruceLevell_Provisional","DEM","DEM_AbsenteebyMail","DEM_AdvanceinPerson","DEM_ElectionDay","DEM_Provisional","DanMoody","DanMoody_AbsenteebyMail","DanMoody_AdvanceinPerson","DanMoody_ElectionDay","DanMoody_Provisional","DavidAbroms","DavidAbroms_AbsenteebyMail","DavidAbroms_AdvanceinPerson","DavidAbroms_ElectionDay","DavidAbroms_Provisional","IND","IND_AbsenteebyMail","IND_AdvanceinPerson","IND_ElectionDay","IND_Provisional","JonOssoff","JonOssoff_AbsenteebyMail","JonOssoff_AdvanceinPerson","JonOssoff_ElectionDay","JonOssoff_Provisional","JudsonHill","JudsonHill_AbsenteebyMail","JudsonHill_AdvanceinPerson","JudsonHill_ElectionDay","JudsonHill_Provisional","KarenHandel","KarenHandel_AbsenteebyMail","KarenHandel_AdvanceinPerson","KarenHandel_ElectionDay","KarenHandel_Provisional","KeithGrawert","KeithGrawert_AbsenteebyMail","KeithGrawert_AdvanceinPerson","KeithGrawert_ElectionDay","KeithGrawert_Provisional","KurtWilson","KurtWilson_AbsenteebyMail","KurtWilson_AdvanceinPerson","KurtWilson_ElectionDay","KurtWilson_Provisional","MohammadAliBhuiyan","MohammadAliBhuiyan_AbsenteebyMail","MohammadAliBhuiyan_AdvanceinPerson","MohammadAliBhuiyan_ElectionDay","MohammadAliBhuiyan_Provisional","REP","REP_AbsenteebyMail","REP_AdvanceinPerson","REP_ElectionDay","REP_Provisional","RaginEdwards","RaginEdwards_AbsenteebyMail","RaginEdwards_AdvanceinPerson","RaginEdwards_ElectionDay","RaginEdwards_Provisional","RebeccaQuigg","RebeccaQuigg_AbsenteebyMail","RebeccaQuigg_AdvanceinPerson","RebeccaQuigg_ElectionDay","RebeccaQuigg_Provisional","RichardKeatley","RichardKeatley_AbsenteebyMail","RichardKeatley_AdvanceinPerson","RichardKeatley_ElectionDay","RichardKeatley_Provisional","RonSlotin","RonSlotin_AbsenteebyMail","RonSlotin_AdvanceinPerson","RonSlotin_ElectionDay","RonSlotin_Provisional","WilliamLlop","WilliamLlop_AbsenteebyMail","WilliamLlop_AdvanceinPerson","WilliamLlop_ElectionDay","WilliamLlop_Provisional","ballotsCast","totalVoters","COUNTY","PRECINCTS","IDRV","DRV","BC_TV","IDRV_BC","IDRV_TV","DRV_BC","DRV_TV","DEM_IDRV","DEM_DRV","DEM_BC","DEM_TV","REP_IDRV","REP_DRV","REP_BC","REP_TV","DPW","RPW","IPW"
"1","Addison 01",0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,142,0,11,131,0,1,0,0,1,0,453,18,92,342,1,67,2,10,55,0,6,0,0,6,0,0,0,0,0,0,447,17,91,338,1,130,1,14,115,0,180,4,23,153,0,2,0,0,2,0,6,0,1,5,0,2,0,0,2,0,539,7,59,473,0,1,1,0,0,0,3,0,0,3,0,0,0,0,0,0,2,0,1,1,0,1,0,0,1,0,992,2155,"Cobb",1,992,992,46.0324825986079,100,46.0324825986079,100,46.0324825986079,45.6653225806452,45.6653225806452,45.6653225806452,21.0208816705336,54.3346774193548,54.3346774193548,54.3346774193548,25.0116009280742,0,0,0
"2","Bells Ferry 02",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,180,7,13,160,0,0,0,0,0,0,505,44,95,366,0,76,0,10,66,0,16,0,0,16,0,1,0,0,1,0,495,43,91,361,0,108,3,5,100,0,201,2,21,178,0,2,0,0,2,0,5,0,1,4,0,3,2,0,1,0,591,14,50,527,0,6,1,1,4,0,2,0,2,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1100,2656,"Cobb",1,1097,1096,41.4156626506024,99.7272727272727,41.3027108433735,99.6363636363636,41.2650602409639,46.0346399270738,46.0766423357664,45.9090909090909,19.0135542168675,53.8742023701003,53.9233576642336,53.7272727272727,22.2515060240964,0,0,0
"3","Bells Ferry 03",2,0,0,2,0,5,0,0,5,0,1,0,0,1,0,255,7,14,234,0,2,0,0,2,0,780,40,155,582,3,139,6,17,116,0,26,0,1,25,0,3,0,0,3,0,766,39,151,573,3,178,5,6,166,1,385,4,15,366,0,7,1,0,6,0,3,0,1,2,0,2,0,0,2,0,1003,23,54,925,1,2,0,1,1,0,6,0,2,4,0,3,0,1,2,0,3,1,0,2,0,1,0,0,1,0,1788,5182,"Cobb",1,1786,1783,34.5040524893863,99.8881431767338,34.4654573523736,99.7203579418345,34.4075646468545,43.6730123180291,43.7464946719013,43.6241610738255,15.0521034349672,56.1590145576708,56.2535053280987,56.0961968680089,19.3554612118873,0,0,0
"4","Blackwell 01",0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,125,2,4,119,0,3,0,0,3,0,478,16,115,346,1,81,2,11,68,0,12,0,0,12,0,0,0,0,0,0,477,16,115,345,1,92,8,5,79,0,173,1,9,163,0,2,0,0,2,0,3,0,0,3,0,1,0,0,1,0,494,13,29,452,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,973,2327,"Cobb",1,972,972,41.813493768801,99.8972250770812,41.7705199828105,99.8972250770812,41.7705199828105,49.1769547325103,49.1769547325103,49.1264131551901,20.5414697034809,50.8230452674897,50.8230452674897,50.7708119218911,21.2290502793296,0,0,0
"5","Chattahoochee 01",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,14,0,4,10,0,0,0,0,0,0,410,17,118,272,3,15,0,4,11,0,1,0,0,1,0,0,0,0,0,0,401,15,116,267,3,19,0,4,15,0,36,0,16,20,0,1,0,1,0,0,2,0,0,2,0,0,0,0,0,0,89,0,29,60,0,4,1,0,3,0,2,1,1,0,0,2,0,0,2,0,1,0,1,0,0,0,0,0,0,0,499,2464,"Cobb",1,499,499,20.2516233766234,100,20.2516233766234,100,20.2516233766234,82.1643286573146,82.1643286573146,82.1643286573146,16.6396103896104,17.8356713426854,17.8356713426854,17.8356713426854,3.61201298701299,0,0,0
"6","Chestnut Ridge 01",0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,222,5,30,187,0,6,0,0,6,0,586,46,156,384,0,83,1,13,69,0,14,0,0,14,0,0,0,0,0,0,575,46,151,378,0,404,8,57,338,1,305,3,33,269,0,4,0,0,4,0,10,0,0,10,0,1,0,0,1,0,1055,17,133,904,1,4,0,2,2,0,4,0,3,1,0,1,0,0,1,0,2,0,0,2,0,3,0,0,3,0,1644,2829,"Cobb",1,1641,1641,58.1124072110286,99.8175182481752,58.0063626723224,99.8175182481752,58.0063626723224,35.7099329677026,35.7099329677026,35.6447688564477,20.7140332272888,64.2900670322974,64.2900670322974,64.1727493917275,37.2923294450336,0,0,0
"7","Davis 01",1,0,1,0,0,6,0,0,6,0,0,0,0,0,0,130,0,9,121,0,1,0,0,1,0,357,26,55,275,1,60,1,3,56,0,6,0,0,6,0,1,0,1,0,0,351,26,54,270,1,88,3,5,80,0,163,2,11,150,0,2,0,0,2,0,5,0,0,5,0,2,0,1,1,0,466,6,29,431,0,2,0,0,2,0,2,0,0,2,0,1,0,0,1,0,1,0,1,0,0,3,0,0,3,0,826,1804,"Cobb",1,824,823,45.7871396895787,99.7578692493947,45.6762749445676,99.636803874092,45.6208425720621,43.3252427184466,43.3778857837181,43.2203389830508,19.7893569844789,56.5533980582524,56.6221142162819,56.4164648910412,25.8314855875831,0,0,0
"8","Dickerson 01",0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,134,1,24,109,0,2,0,0,2,0,579,56,195,327,1,87,2,22,63,0,13,0,6,7,0,1,0,0,1,0,577,56,195,325,1,312,9,51,252,0,240,2,40,198,0,2,0,0,2,0,14,0,0,14,0,5,0,1,4,0,810,14,144,652,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1393,2608,"Cobb",1,1390,1389,53.4125766871166,99.7846374730797,53.2975460122699,99.7128499641062,53.2592024539877,41.6546762589928,41.6846652267819,41.564967695621,22.2009202453988,58.273381294964,58.3153347732181,58.1478822684853,31.058282208589,0,0,0
"9","Dodgen 01",0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,123,4,25,93,1,0,0,0,0,0,391,32,104,252,3,54,0,13,41,0,8,0,2,6,0,0,0,0,0,0,389,31,104,251,3,275,11,45,219,0,186,4,37,145,0,2,0,0,2,0,3,0,0,3,0,1,0,1,0,0,655,19,123,512,1,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1050,1918,"Cobb",1,1046,1046,54.7445255474453,99.6190476190476,54.5359749739312,99.6190476190476,54.5359749739312,37.3804971319312,37.3804971319312,37.2380952380952,20.385818561001,62.6195028680688,62.6195028680688,62.3809523809524,34.1501564129301,0,0,0
"10","East Piedmont 01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,2,28,0,0,0,0,0,0,41,1,12,28,0,15,0,0,15,0,2,0,1,1,0,0,0,0,0,0,40,1,12,27,0,14,0,4,10,0,34,0,2,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,9,85,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,303,"Cobb",1,136,136,44.8844884488449,100,44.8844884488449,100,44.8844884488449,30.1470588235294,30.1470588235294,30.1470588235294,13.5313531353135,69.8529411764706,69.8529411764706,69.8529411764706,31.3531353135314,0,0,0
"11","Eastside 01",1,0,1,0,0,2,0,0,2,0,0,0,0,0,0,160,9,29,122,0,2,0,0,2,0,614,46,245,323,0,96,5,39,52,0,10,0,2,8,0,1,0,1,0,0,610,46,242,322,0,382,8,99,275,0,227,2,64,161,0,1,0,0,1,0,4,0,0,4,0,3,0,1,2,0,888,24,234,630,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,2,0,1,1,0,1,0,0,1,0,1505,2740,"Cobb",1,1503,1502,54.9270072992701,99.8671096345515,54.8540145985401,99.8006644518272,54.8175182481752,40.851630073187,40.878828229028,40.797342192691,22.4087591240876,59.0818363273453,59.121171770972,59.0033222591362,32.4087591240876,0,0,0
"12","Eastside 02",0,0,0,0,0,2,0,0,2,0,2,0,0,2,0,241,3,54,184,0,0,0,0,0,0,803,49,292,459,3,133,3,25,105,0,25,0,8,17,0,2,0,0,2,0,789,49,284,453,3,406,6,93,306,1,383,6,68,308,1,7,0,2,5,0,3,2,0,1,0,2,0,1,1,0,1204,20,253,929,2,4,0,3,1,0,4,0,2,2,0,3,0,1,2,0,3,0,2,1,0,2,0,2,0,0,2010,3687,"Cobb",1,2009,2007,54.5158665581774,99.9502487562189,54.4887442365066,99.8507462686567,54.4344995931652,39.9701343952215,40.0099651220727,39.9502487562189,21.7792243016002,59.9303135888502,59.9900348779273,59.9004975124378,32.655275291565,0,0,0
"13","Elizabeth 02",1,0,0,1,0,4,0,2,2,0,0,0,0,0,0,132,1,11,120,0,2,1,0,1,0,388,29,92,266,1,73,0,22,51,0,9,0,1,8,0,1,0,0,1,0,378,28,90,259,1,115,4,21,90,0,181,2,26,153,0,3,0,1,2,0,6,0,2,4,0,2,0,0,2,0,528,8,86,434,0,4,1,1,2,0,4,0,1,3,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,917,2145,"Cobb",1,917,916,42.7505827505828,100,42.7505827505828,99.8909487459106,42.7039627039627,42.3118865866957,42.3580786026201,42.3118865866957,18.0885780885781,57.5790621592148,57.6419213973799,57.5790621592148,24.6153846153846,0,0,0
