"","precinct","DEM","DEM_AbsenteebyMail","DEM_AdvanceinPerson","DEM_ElectionDay","DEM_Provisional","JonOssoff","JonOssoff_AbsenteebyMail","JonOssoff_AdvanceinPerson","JonOssoff_ElectionDay","JonOssoff_Provisional","KarenHandel","KarenHandel_AbsenteebyMail","KarenHandel_AdvanceinPerson","KarenHandel_ElectionDay","KarenHandel_Provisional","REP","REP_AbsenteebyMail","REP_AdvanceinPerson","REP_ElectionDay","REP_Provisional","ballotsCast","totalVoters","COUNTY","PRECINCTS","IDRV","DRV","BC_TV","IDRV_BC","IDRV_TV","DRV_BC","DRV_TV","DEM_IDRV","DEM_DRV","DEM_BC","DEM_TV","REP_IDRV","REP_DRV","REP_BC","REP_TV","DPW","RPW","IPW"
"1","Addison 01",568,88,107,373,0,568,88,107,373,0,737,75,123,539,0,737,75,123,539,0,1305,2184,"Cobb",1,1305,1305,59.7527472527473,100,59.7527472527473,100,59.7527472527473,43.5249042145594,43.5249042145594,43.5249042145594,26.007326007326,56.4750957854406,56.4750957854406,56.4750957854406,33.7454212454212,0,1,0
"2","Bells Ferry 02",679,99,140,440,0,679,99,140,440,0,805,61,116,628,0,805,61,116,628,0,1484,2708,"Cobb",1,1484,1484,54.8005908419498,100,54.8005908419498,100,54.8005908419498,45.7547169811321,45.7547169811321,45.7547169811321,25.0738552437223,54.2452830188679,54.2452830188679,54.2452830188679,29.7267355982275,0,1,0
"3","Bells Ferry 03",1056,199,233,624,0,1056,199,233,624,0,1419,139,208,1072,0,1419,139,208,1072,0,2478,5249,"Cobb",1,2475,2475,47.2089921889884,99.8789346246973,47.1518384454182,99.8789346246973,47.1518384454182,42.6666666666667,42.6666666666667,42.6150121065375,20.1181177367118,57.3333333333333,57.3333333333333,57.2639225181598,27.0337207087064,0,1,0
"4","Blackwell 01",632,120,154,358,0,632,120,154,358,0,689,63,106,520,0,689,63,106,520,0,1322,2369,"Cobb",1,1321,1321,55.8041367665682,99.9243570347958,55.7619248628113,99.9243570347958,55.7619248628113,47.8425435276306,47.8425435276306,47.8063540090772,26.6779231743352,52.1574564723694,52.1574564723694,52.1180030257186,29.0840016884761,0,1,0
"5","Chattahoochee 01",616,104,184,328,0,616,104,184,328,0,153,18,40,95,0,153,18,40,95,0,770,2528,"Cobb",1,769,769,30.4588607594937,99.8701298701299,30.4193037974684,99.8701298701299,30.4193037974684,80.1040312093628,80.1040312093628,80,24.3670886075949,19.8959687906372,19.8959687906372,19.8701298701299,6.05221518987342,1,0,0
"6","Chestnut Ridge 01",732,192,150,390,0,732,192,150,390,0,1287,104,224,959,0,1287,104,224,959,0,2020,2866,"Cobb",1,2019,2019,70.4815073272854,99.950495049505,70.4466154919749,99.950495049505,70.4466154919749,36.2555720653789,36.2555720653789,36.2376237623762,25.5408234473133,63.7444279346211,63.7444279346211,63.7128712871287,44.9057920446616,0,1,0
"7","Davis 01",449,92,80,277,0,449,92,80,277,0,634,42,85,507,0,634,42,85,507,0,1083,1829,"Cobb",1,1083,1083,59.212684527064,100,59.212684527064,100,59.212684527064,41.4589104339797,41.4589104339797,41.4589104339797,24.5489338436304,58.5410895660203,58.5410895660203,58.5410895660203,34.6637506834336,0,1,0
"8","Dickerson 01",719,150,209,360,0,719,150,209,360,0,1053,85,250,718,0,1053,85,250,718,0,1772,2626,"Cobb",1,1772,1772,67.4790555978675,100,67.4790555978675,100,67.4790555978675,40.5756207674944,40.5756207674944,40.5756207674944,27.3800456968774,59.4243792325056,59.4243792325056,59.4243792325056,40.0990099009901,0,1,0
"9","Dodgen 01",488,110,113,265,0,488,110,113,265,0,822,73,199,550,0,822,73,199,550,0,1311,1927,"Cobb",1,1310,1310,68.0332122470161,99.9237223493516,67.9813181110535,99.9237223493516,67.9813181110535,37.2519083969466,37.2519083969466,37.2234935163997,25.3243383497665,62.7480916030534,62.7480916030534,62.7002288329519,42.656979761287,0,1,0
"10","East Piedmont 01",54,7,15,32,0,54,7,15,32,0,132,4,28,100,0,132,4,28,100,0,186,310,"Cobb",1,186,186,60,100,60,100,60,29.0322580645161,29.0322580645161,29.0322580645161,17.4193548387097,70.9677419354839,70.9677419354839,70.9677419354839,42.5806451612903,0,1,0
"11","Eastside 01",762,215,230,317,0,762,215,230,317,0,1090,124,302,664,0,1090,124,302,664,0,1855,2781,"Cobb",1,1852,1852,66.7026249550521,99.8382749326146,66.5947500898957,99.8382749326146,66.5947500898957,41.1447084233261,41.1447084233261,41.078167115903,27.4002157497303,58.8552915766739,58.8552915766739,58.7601078167116,39.1945343401654,0,1,0
"12","Eastside 02",1020,215,262,543,0,1020,215,262,543,0,1470,132,370,968,0,1470,132,370,968,0,2492,3725,"Cobb",1,2490,2490,66.8993288590604,99.9197431781702,66.8456375838926,99.9197431781702,66.8456375838926,40.9638554216867,40.9638554216867,40.9309791332263,27.3825503355705,59.0361445783133,59.0361445783133,58.9887640449438,39.4630872483221,0,1,0
"13","Elizabeth 02",515,86,125,304,0,515,86,125,304,0,711,81,170,460,0,711,81,170,460,0,1227,2171,"Cobb",1,1226,1226,56.5177337632427,99.918500407498,56.4716720405343,99.918500407498,56.4716720405343,42.0065252854812,42.0065252854812,41.9722901385493,23.7217871948411,57.9934747145188,57.9934747145188,57.9462102689487,32.7498848456932,0,1,0
"14","Elizabeth 03",603,136,183,284,0,603,136,183,284,0,926,106,228,592,0,926,106,228,592,0,1530,2479,"Cobb",1,1529,1529,61.7184348527632,99.9346405228758,61.6780960064542,99.9346405228758,61.6780960064542,39.4375408763898,39.4375408763898,39.4117647058824,24.3243243243243,60.5624591236102,60.5624591236102,60.5228758169935,37.3537716821299,0,1,0
"15","Elizabeth 04",728,147,181,400,0,728,147,181,400,0,538,38,115,385,0,538,38,115,385,0,1267,2531,"Cobb",1,1266,1266,50.0592651126037,99.9210734017364,50.0197550375346,99.9210734017364,50.0197550375346,57.5039494470774,57.5039494470774,57.4585635359116,28.7633346503358,42.4960505529226,42.4960505529226,42.4625098658248,21.2564203871987,1,0,0
"16","Elizabeth 05",749,167,163,419,0,749,167,163,419,0,876,75,152,649,0,876,75,152,649,0,1625,2667,"Cobb",1,1625,1625,60.9298837645294,100,60.9298837645294,100,60.9298837645294,46.0923076923077,46.0923076923077,46.0923076923077,28.0839895013123,53.9076923076923,53.9076923076923,53.9076923076923,32.8458942632171,0,1,0
"17","Fullers Park 01",856,190,222,444,0,856,190,222,444,0,1148,106,252,790,0,1148,106,252,790,0,2007,3105,"Cobb",1,2004,2004,64.6376811594203,99.8505231689088,64.5410628019324,99.8505231689088,64.5410628019324,42.7145708582834,42.7145708582834,42.6507224713503,27.5684380032206,57.2854291417166,57.2854291417166,57.1998006975585,36.9726247987118,0,1,0
