"","Cobb_1611","DeKalb_1611","Fulton_1611","Total_1611","Cobb_1704","DeKalb_1704","Fulton_1704","Total_1704","Cobb_1706","DeKalb_1706","Fulton_1706","Total_1706"
"ballotsCast",111926,76100,165234,353260,61313,44338,87105,192756,78493,57953,123176,259622
"BC_TV",81.6751557962025,80.8293237315319,81.1960687960688,81.2335161079344,47.9206233831196,44.6734979697528,40.9495423410887,44.5145545646537,60.5796094775025,57.1410260202522,56.8063273917956,58.1756542965168
"DEM",31916,34326,58675,124917,25649,26377,42175,94201,32833,33847,58213,124893
"DEM_BC",28.5152690170291,45.1064388961892,35.510246075263,36.3773179961604,41.8328902516595,59.4907302990663,48.4185752827048,49.9140652778102,41.8292077000497,58.404224112643,47.2600181853608,49.1644833326845
"DEM_DRV",32.7471219552236,47.5396440689703,37.5308626181734,39.2725428807891,41.9286286433557,59.6171232257481,48.4903881530537,50.0120466740525,41.8478676489332,58.4405269609959,47.2842023181955,49.1908656427082
"DEM_IDRV",32.7471219552236,47.5396440689703,37.5308626181734,39.2725428807891,41.8902807493181,59.5431048104923,48.4541767672706,49.9625207756937,41.8478676489332,58.4405269609959,47.2842023181955,49.1908656427082
"DEM_TV",23.2898903953648,36.4592295191664,28.8329238329238,29.5273479158184,20.0465817877715,26.5765901923445,19.8271849863431,22.1501189888197,25.3399706722235,33.3727728971318,26.8466806557982,28.5198080750512
"DPW",4,17,24,45,0,0,0,0,7,35,50,92
"DRV",97462,72205,156338,326005,61173,44244,86976,192393,78458,57917,123113,259488
"DRV_BC",87.07717599128,94.8817345597897,94.6161201689725,92.1916769066807,99.7716634318986,99.7879922414182,99.8519028758395,99.8038528497188,99.9554100365638,99.9378806964264,99.9488536727934,99.9473814685945
"DRV_TV",71.1204191538114,76.6922643894253,76.82457002457,74.8790845226022,47.8112030762738,44.5787866880271,40.8888972465247,44.4262956702752,60.5525970517867,57.1055304128336,56.7772730417137,58.1451335021114
"IDRV",97462,72205,156338,326005,61229,44299,87041,192569,78458,57917,123113,259488
"IDRV_BC",87.07717599128,94.8817345597897,94.6161201689725,92.1916769066807,99.8629980591392,99.9120393342054,99.9265254577808,99.9005209503751,99.9554100365638,99.9378806964264,99.9488536727934,99.9473814685945
"IDRV_TV",71.1204191538114,76.6922643894253,76.82457002457,74.8790845226022,47.8549711990121,44.6342028635049,40.9194548523127,44.4695429716099,60.5525970517867,57.1055304128336,56.7772730417137,58.1451335021114
"IPW",0,0,0,0,0,0,0,0,0,0,0,0
"PRECINCTS",51,43,116,70,50,43,115,69.3333333333333,50,43,115,69.3333333333333
"REP",65546,37879,97663,201088,35524,17867,44801,98192,45625,24070,64900,134595
"REP_BC",58.5619069742508,49.7752956636005,59.1058740937095,55.8143589105203,57.9387731802391,40.2972619423519,51.4333275931347,49.8897875719086,58.1262023365141,41.5336565837834,52.6888354874326,50.78289813591
"REP_DRV",67.2528780447764,52.4603559310297,62.4691373818266,60.7274571192109,58.0713713566443,40.3828767742519,51.5096118469463,49.9879533259475,58.1521323510668,41.5594730390041,52.7157976818045,50.8091343572918
"REP_IDRV",67.2528780447764,52.4603559310297,62.4691373818266,60.7274571192109,58.0182593215633,40.332738888011,51.4711457818729,49.9407146638157,58.1521323510668,41.5594730390041,52.7157976818045,50.8091343572918
"REP_TV",47.8305287584466,40.2330348702588,47.9916461916462,45.3517366067839,27.7646212885023,18.0021964956826,21.0617122601816,22.2761766814555,35.2126263795632,23.7327575157019,29.9305923859156,29.6253254270602
"RPW",46,26,92,164,0,0,0,0,43,8,65,116
"totalVoters",137038,94149,203500,144895.666666667,127947,99249,212713,146636.333333333,129570,101421,216835,149275.333333333
