precinct,DEM,DEM_AbsenteebyMail,DEM_AdvanceinPerson,DEM_ElectionDay,DEM_Provisional,DonaldJTrump,DonaldJTrump_AbsenteebyMail,DonaldJTrump_AdvanceinPerson,DonaldJTrump_ElectionDay,DonaldJTrump_Provisional,GaryJohnson,GaryJohnson_AbsenteebyMail,GaryJohnson_AdvanceinPerson,GaryJohnson_ElectionDay,GaryJohnson_Provisional,HillaryClinton,HillaryClinton_AbsenteebyMail,HillaryClinton_AdvanceinPerson,HillaryClinton_ElectionDay,HillaryClinton_Provisional,LIB,LIB_AbsenteebyMail,LIB_AdvanceinPerson,LIB_ElectionDay,LIB_Provisional,REP,REP_AbsenteebyMail,REP_AdvanceinPerson,REP_ElectionDay,REP_Provisional
Acworth 1A,1368,90,677,598,3,1722,118,760,843,1,156,9,44,103,0,1368,90,677,598,3,156,9,44,103,0,1722,118,760,843,1
Acworth 1B,1155,85,473,594,3,1610,145,625,837,3,118,4,24,90,0,1155,85,473,594,3,118,4,24,90,0,1610,145,625,837,3
Acworth 1C,1538,56,680,796,6,1039,71,345,621,2,129,9,31,89,0,1538,56,680,796,6,129,9,31,89,0,1039,71,345,621,2
Addison 01,683,50,275,357,1,901,80,350,468,3,80,6,20,54,0,683,50,275,357,1,80,6,20,54,0,901,80,350,468,3
Austell 1A,2002,52,1049,896,5,524,28,209,286,1,52,2,15,35,0,2002,52,1049,896,5,52,2,15,35,0,524,28,209,286,1
Bells Ferry 02,797,42,361,390,4,1043,90,389,562,2,122,5,20,96,1,797,42,361,390,4,122,5,20,96,1,1043,90,389,562,2
Bells Ferry 03,1362,76,673,611,2,2110,197,1041,871,1,225,18,80,127,0,1362,76,673,611,2,225,18,80,127,0,2110,197,1041,871,1
Big Shanty 01,667,32,237,398,0,890,60,328,500,2,87,1,20,66,0,667,32,237,398,0,87,1,20,66,0,890,60,328,500,2
Big Shanty 02,805,50,344,411,0,1186,75,431,680,0,107,11,17,78,1,805,50,344,411,0,107,11,17,78,1,1186,75,431,680,0
Baker 01,1470,68,614,779,9,1260,67,369,821,3,153,5,28,120,0,1470,68,614,779,9,153,5,28,120,0,1260,67,369,821,3
Birney 01,904,37,388,474,5,558,52,232,274,0,63,2,14,47,0,904,37,388,474,5,63,2,14,47,0,558,52,232,274,0
Birney 02,1448,76,752,616,4,922,95,384,443,0,82,3,26,52,1,1448,76,752,616,4,82,3,26,52,1,922,95,384,443,0
Bryant 01,1197,34,760,397,6,74,9,37,28,0,24,1,7,16,0,1197,34,760,397,6,24,1,7,16,0,74,9,37,28,0
Bryant 02,2457,69,1283,1100,5,141,11,57,72,1,35,3,11,21,0,2457,69,1283,1100,5,35,3,11,21,0,141,11,57,72,1
Blackwell 01,769,41,371,355,2,876,85,363,427,1,101,3,29,68,1,769,41,371,355,2,101,3,29,68,1,876,85,363,427,1
Chattahoochee 01,2149,138,986,1012,13,785,45,323,412,5,156,12,46,96,2,2149,138,986,1012,13,156,12,46,96,2,785,45,323,412,5
Cheatham Hill 02,704,53,383,267,1,1301,73,609,616,3,89,7,24,57,1,704,53,383,267,1,89,7,24,57,1,1301,73,609,616,3
Cheatham Hill 03,1119,69,646,403,1,1509,109,788,611,1,151,10,51,90,0,1119,69,646,403,1,151,10,51,90,0,1509,109,788,611,1
Chalker 01,1474,96,652,720,6,1286,96,568,618,4,175,3,43,128,1,1474,96,652,720,6,175,3,43,128,1,1286,96,568,618,4
Clarkdale 01,669,24,325,317,3,449,42,190,216,1,25,0,10,15,0,669,24,325,317,3,25,0,10,15,0,449,42,190,216,1
Clarkdale 02,2069,54,943,1066,6,983,73,407,502,1,67,4,22,41,0,2069,54,943,1066,6,67,4,22,41,0,983,73,407,502,1
