precinct,ballotsCast,totalVoters
Acworth 1A,3309,4166
Acworth 1B,2951,3866
Acworth 1C,2769,3718
Addison 01,1717,2085
Austell 1A,2597,3578
Bells Ferry 02,2006,2518
Bells Ferry 03,3803,4866
Big Shanty 01,1686,2283
Big Shanty 02,2153,2595
Baker 01,2940,3834
Birney 01,1542,2048
Birney 02,2491,3093
Bryant 01,1313,1676
Bryant 02,2667,4395
Blackwell 01,1780,2212
Chattahoochee 01,3172,4413
Cheatham Hill 02,2159,2559
Cheatham Hill 03,2873,3387
Chalker 01,3006,4137
Clarkdale 01,1168,1502
Clarkdale 02,3164,4110
Cooper 01,2760,3769
Chestnut Ridge 01,2390,2768
Dickerson 01,2142,2537
Dobbins 01,2206,3308
Dowell 01,2230,2738
Dodgen 01,1586,1851
Durham 01,2938,3590
Davis 01,1419,1743
Eastside 01,2234,2651
Eastside 02,3028,3556
Elizabeth 01,2054,2943
Elizabeth 02,1683,2031
Elizabeth 03,1989,2369
Elizabeth 04,1796,2324
Elizabeth 05,2116,2561
East Piedmont 01,1533,1977
Fair Oaks 01,2291,3167
Fair Oaks 02,2306,3538
Fair Oaks 04,1247,1844
Fair Oaks 05,889,1511
Fullers Park 01,2486,2953
Ford 01,2255,2728
Frey 01,1732,2123
Garrison Mill 01,2018,2408
Gritters 01,2651,3313
Harmony Leland 01,3544,4520
Harrison 01,2022,2411
Hightower 01,3130,3697
Hayes 01,2772,3392
Kennesaw 1A,1463,1993
Kennesaw 2A,2364,3043
Kennesaw 3A,3374,4537
Kennesaw 4A,2349,2999
Kennesaw 5A,3801,4676
Kell 01,1433,1725
Kemp 01,1389,1666
Kemp 02,2780,3319
Kemp 03,2825,3372
Lasssiter 01,2650,3148
Lindley 01,3151,3836
Lost Mountain 01,2443,2908
Lost Mountain 02,2990,3572
Lost Mountain 03,3625,4312
Lost Mountain 04,1900,2320
Lewis 01,1162,1398
Mableton 01,2919,3805
Mableton 02,1515,2162
Mableton 03,1873,2384
Mableton 04,1114,1350
Mabry 01,1294,1519
Macland 01,2388,3119
Murdock 01,2934,3415
McEachern 01,2191,2676
McCleskey 01,1286,1518
McClure 01,1152,1364
Marietta 1A,1863,2924
Marietta 2A,1640,1899
Marietta 2B,2750,3580
Marietta 3A,3876,5009
Marietta 4A,1507,1717
Marietta 4B,1358,1701
Marietta 4C,1999,2359
Marietta 5A,1785,2112
Marietta 5B,1295,2010
Marietta 6A,1323,1949
Marietta 6B,1977,2346
Marietta 7A,1590,2667
Mars Hill 01,2214,2783
Mars Hill 02,1804,2325
Mount Bethel 01,3078,3618
Mount Bethel 03,2263,2731
Mount Bethel 04,2222,2681
North Cobb 01,1493,1889
Nickajack 01,3028,3921
Norton Park 01,2690,3625
Nicholson 01,1666,2082
Oakdale 01,2648,3234
Oregon 01,1229,1418
Oregon 02,3343,4354
Oregon 03,1876,2758
Oregon 04,2633,3430
Oregon 05,2587,3173
Pebblebrook 01,2904,3913
Powers Ferry 01,2257,2830
Pine Mountain 01,2429,2897
Pine Mountain 02,2242,2629
Post Oak 01,2678,3181
Pope 01,2270,2711
Palmer 01,1776,2190
Powder Springs 1A,2690,3369
Powder Springs 2A,1967,2662
Powder Springs 3A,2171,2809
Pitner 01,1889,2359
Rocky Mountain 01,2412,2886
Riverside 01,1036,1489
Roswell 01,4130,4798
Roswell 02,2729,3219
Sandy Plains 01,2063,2476
Shallowford Fall 01,2504,2942
Simpson 01,1401,1670
Sewell Mill 01,2425,2923
Sewell Mill 03,2804,3761
Smyrna 1A,2244,3094
Smyrna 2A,3213,4138
Smyrna 3A,3963,5045
Smyrna 4A,4182,4989
Smyrna 5A,2197,2935
Smyrna 6A,4129,5054
Smyrna 7A,4276,5062
Sope Creek 01,1695,1953
Sope Creek 02,3103,3862
Sope Creek 03,2093,2533
Sweetwater 01,2119,2620
Sweetwater 02,1598,2343
Terrell Mill 01,3109,4372
Timber Ridge 01,1919,2221
Vaughn 01,2292,2761
Vinings 01,1549,1961
Vinings 02,3743,4920
Vinings 03,2781,3485
Vinings 04,2458,2995
Wade Green 02,3019,3798
Wileo 01,2192,2528
