precinct,DEM,DEM_AbsenteebyMail,DEM_AdvanceinPerson,DEM_ElectionDay,DEM_Provisional,REP,REP_AbsenteebyMail,REP_AdvanceinPerson,REP_ElectionDay,REP_Provisional,RodneyStooksbury,RodneyStooksbury_AbsenteebyMail,RodneyStooksbury_AdvanceinPerson,RodneyStooksbury_ElectionDay,RodneyStooksbury_Provisional,TomPrice,TomPrice_AbsenteebyMail,TomPrice_AdvanceinPerson,TomPrice_ElectionDay,TomPrice_Provisional
Addison 01,595,39,241,314,1,1056,99,400,555,2,595,39,241,314,1,1056,99,400,555,2
Bells Ferry 02,733,38,339,354,2,1188,93,419,673,3,733,38,339,354,2,1188,93,419,673,3
Bells Ferry 03,1285,69,634,580,2,2354,219,1130,1004,1,1285,69,634,580,2,2354,219,1130,1004,1
Blackwell 01,691,36,346,307,2,1002,89,400,513,0,691,36,346,307,2,1002,89,400,513,0
Chattahoochee 01,1078,55,521,497,5,405,25,148,229,3,1078,55,521,497,5,405,25,148,229,3
Chestnut Ridge 01,578,57,225,296,0,1715,166,489,1059,1,578,57,225,296,0,1715,166,489,1059,1
Dickerson 01,602,70,207,325,0,1436,135,367,933,1,602,70,207,325,0,1436,135,367,933,1
Dodgen 01,427,42,147,238,0,1106,96,332,676,2,427,42,147,238,0,1106,96,332,676,2
Davis 01,423,30,157,236,0,936,69,266,600,1,423,30,157,236,0,936,69,266,600,1
Eastside 01,626,55,228,342,1,1533,140,440,952,1,626,55,228,342,1,1533,140,440,952,1
Eastside 02,873,65,381,427,0,2032,173,734,1124,1,873,65,381,427,0,2032,173,734,1124,1
Elizabeth 02,540,41,229,270,0,1068,110,407,549,2,540,41,229,270,0,1068,110,407,549,2
Elizabeth 03,617,39,292,286,0,1282,137,490,654,1,617,39,292,286,0,1282,137,490,654,1
Elizabeth 04,822,45,315,459,3,892,63,295,534,0,822,45,315,459,3,892,63,295,534,0
Elizabeth 05,737,59,299,379,0,1280,104,388,785,3,737,59,299,379,0,1280,104,388,785,3
East Piedmont 01,58,3,25,30,0,178,9,73,96,0,58,3,25,30,0,178,9,73,96,0
Fullers Park 01,752,45,299,405,3,1622,155,540,919,8,752,45,299,405,3,1622,155,540,919,8
Garrison Mill 01,633,39,260,334,0,1313,105,397,810,1,633,39,260,334,0,1313,105,397,810,1
Gritters 01,884,41,367,474,2,1654,140,612,902,0,884,41,367,474,2,1654,140,612,902,0
Hightower 01,864,81,292,491,0,2133,233,591,1307,2,864,81,292,491,0,2133,233,591,1307,2
Kell 01,421,28,181,212,0,959,76,341,539,3,421,28,181,212,0,959,76,341,539,3
Lasssiter 01,666,45,289,332,0,1889,201,655,1031,2,666,45,289,332,0,1889,201,655,1031,2
Mabry 01,287,21,111,154,1,967,85,277,604,1,287,21,111,154,1,967,85,277,604,1
Murdock 01,802,76,283,441,2,2016,180,620,1216,0,802,76,283,441,2,2016,180,620,1216,0
McCleskey 01,359,30,181,148,0,885,62,382,441,0,359,30,181,148,0,885,62,382,441,0
Marietta 5A,430,100,155,174,1,110,28,35,46,1,430,100,155,174,1,110,28,35,46,1
Marietta 5B,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0
Marietta 6A,272,20,118,133,1,203,12,90,101,0,272,20,118,133,1,203,12,90,101,0
Marietta 6B,801,40,362,394,5,1101,75,424,601,1,801,40,362,394,5,1101,75,424,601,1
Marietta 7A,209,19,93,97,0,153,9,79,64,1,209,19,93,97,0,153,9,79,64,1
Mount Bethel 01,788,67,316,402,3,2165,226,652,1285,2,788,67,316,402,3,2165,226,652,1285,2
Mount Bethel 03,690,61,346,282,1,1467,158,630,678,1,690,61,346,282,1,1467,158,630,678,1
Mount Bethel 04,587,58,245,283,1,1555,185,512,857,1,587,58,245,283,1,1555,185,512,857,1
Nicholson 01,535,26,235,273,1,1082,94,436,551,1,535,26,235,273,1,1082,94,436,551,1
Powers Ferry 01,45,2,17,26,0,56,5,26,24,1,45,2,17,26,0,56,5,26,24,1
Post Oak 01,677,41,275,361,0,1910,173,554,1182,1,677,41,275,361,0,1910,173,554,1182,1
Pope 01,668,41,262,365,0,1510,145,486,878,1,668,41,262,365,0,1510,145,486,878,1
Palmer 01,262,14,100,148,0,608,58,237,312,1,262,14,100,148,0,608,58,237,312,1
Rocky Mountain 01,700,41,288,369,2,1623,112,535,974,2,700,41,288,369,2,1623,112,535,974,2
Roswell 01,1186,116,477,593,0,2835,266,780,1788,1,1186,116,477,593,0,2835,266,780,1788,1
Roswell 02,728,100,242,386,0,1895,169,493,1230,3,728,100,242,386,0,1895,169,493,1230,3
Sandy Plains 01,707,51,266,390,0,1274,109,403,759,3,707,51,266,390,0,1274,109,403,759,3
Shallowford Fall 01,711,62,300,349,0,1698,152,532,1014,0,711,62,300,349,0,1698,152,532,1014,0
Simpson 01,386,35,143,206,2,955,117,290,546,2,386,35,143,206,2,955,117,290,546,2
Sewell Mill 01,762,69,262,430,1,1558,138,438,981,1,762,69,262,430,1,1558,138,438,981,1
Sewell Mill 03,1216,72,490,651,3,1475,159,481,833,2,1216,72,490,651,3,1475,159,481,833,2
Sope Creek 01,446,19,181,245,1,1191,122,364,704,1,446,19,181,245,1,1191,122,364,704,1
Sope Creek 02,1088,102,509,473,4,1905,206,645,1049,5,1088,102,509,473,4,1905,206,645,1049,5
Sope Creek 03,555,54,202,299,0,1459,130,347,978,4,555,54,202,299,0,1459,130,347,978,4
Timber Ridge 01,523,60,163,300,0,1334,108,331,893,2,523,60,163,300,0,1334,108,331,893,2
Wileo 01,590,43,222,325,0,1522,146,441,933,2,590,43,222,325,0,1522,146,441,933,2
