precinct,DEM,DEM_AbsenteebyMail,DEM_AdvanceinPerson,DEM_ElectionDay,DEM_Provisional,DonaldJTrump,DonaldJTrump_AbsenteebyMail,DonaldJTrump_AdvanceinPerson,DonaldJTrump_ElectionDay,DonaldJTrump_Provisional,GaryJohnson,GaryJohnson_AbsenteebyMail,GaryJohnson_AdvanceinPerson,GaryJohnson_ElectionDay,GaryJohnson_Provisional,HillaryClinton,HillaryClinton_AbsenteebyMail,HillaryClinton_AdvanceinPerson,HillaryClinton_ElectionDay,HillaryClinton_Provisional,LIB,LIB_AbsenteebyMail,LIB_AdvanceinPerson,LIB_ElectionDay,LIB_Provisional,REP,REP_AbsenteebyMail,REP_AdvanceinPerson,REP_ElectionDay,REP_Provisional
ALLGOOD ELEM,1584,175,918,489,2,172,16,75,81,0,26,2,13,11,0,1584,175,918,489,2,26,2,13,11,0,172,16,75,81,0
ASHFORD DUNWOODY RD,1088,87,575,426,0,898,58,416,424,0,111,12,42,57,0,1088,87,575,426,0,111,12,42,57,0,898,58,416,424,0
ASHFORD PARK ELEM,784,41,420,322,1,809,39,367,403,0,125,4,55,66,0,784,41,420,322,1,125,4,55,66,0,809,39,367,403,0
ASHFORD PARKSIDE,1418,243,633,539,3,956,67,452,436,1,105,7,44,54,0,1418,243,633,539,3,105,7,44,54,0,956,67,452,436,1
AUSTIN,786,74,435,276,1,1065,80,517,467,1,90,5,36,49,0,786,74,435,276,1,90,5,36,49,0,1065,80,517,467,1
AUSTIN DRIVE,1110,28,678,398,6,61,5,26,29,1,21,0,4,17,0,1110,28,678,398,6,21,0,4,17,0,61,5,26,29,1
AVONDALE,1486,58,837,591,0,551,28,201,322,0,134,4,26,104,0,1486,58,837,591,0,134,4,26,104,0,551,28,201,322,0
AVONDALE HIGH - 04,954,49,594,311,0,167,18,76,73,0,32,1,9,22,0,954,49,594,311,0,32,1,9,22,0,167,18,76,73,0
AVONDALE HIGH - 05,850,52,537,261,0,93,10,33,50,0,32,0,14,18,0,850,52,537,261,0,32,0,14,18,0,93,10,33,50,0
BETHUNE MIDDLE,2411,109,1595,699,8,81,2,41,36,2,23,0,14,9,0,2411,109,1595,699,8,23,0,14,9,0,81,2,41,36,2
BOULDERCREST RD,1112,23,616,471,2,53,6,27,20,0,11,0,5,6,0,1112,23,616,471,2,11,0,5,6,0,53,6,27,20,0
