precinct,ballotsCast,totalVoters
ALLGOOD ELEM,1817,2174
ASHFORD DUNWOODY RD,2153,2500
ASHFORD PARK ELEM,1778,2053
ASHFORD PARKSIDE,2543,2991
AUSTIN,1997,2281
AUSTIN DRIVE,1209,1891
AVONDALE,2230,2487
AVONDALE HIGH - 04,1199,1468
AVONDALE HIGH - 05,1001,1240
BETHUNE MIDDLE,2542,3549
BOULDERCREST RD,1190,1589
BOULEVARD,3033,3756
BRIAR VISTA ELEM,1928,2386
BRIARCLIFF,2046,2508
BRIARLAKE ELEM,1317,1545
BRIARWOOD,1514,1918
BROCKETT,1655,2064
BROCKETT ELEM,1698,2139
BROOKHAVEN,2378,2899
BROWNS MILL ELEM,2451,3105
BURGESS ELEM,1983,2527
CANBY LANE ELEM,1141,1588
CANDLER,1656,2588
CANDLER-MURPHEY CANDLER ELEM,1891,2460
CEDAR GROVE ELEM,2605,3235
CEDAR GROVE MIDDLE,861,1339
CEDAR GROVE SOUTH,2373,3011
CHAMBLEE,1093,1402
CHAMBLEE 2,1813,2212
CHAPEL HILL ELEM,2018,2597
CHESNUT ELEM,1442,1862
CLAIREMONT EAST,2473,2815
CLAIREMONT WEST,2483,2847
CLAIRMONT ROAD,1981,2573
CLARKSTON,2770,4226
CLIFTON ELEM,987,1328
COLUMBIA DRIVE,1218,1867
COLUMBIA ELEM,787,1358
COLUMBIA MIDDLE,1006,1625
CORALWOOD,2403,2752
COVINGTON,989,1668
COVINGTON HWY LIBRARY,390,953
CROSS KEYS HIGH,1396,1748
CROSSROADS,1705,2293
DORAVILLE NORTH,1555,2216
DORAVILLE SOUTH,750,1010
DRESDEN ELEM,2817,3844
DRUID HILLS HIGH,1965,2535
DUNAIRE ELEM,1177,1603
DUNWOODY,1938,2468
DUNWOODY HIGH,1567,1772
DUNWOODY LIBRARY,1966,2234
EAST LAKE ELEM,2448,3211
EMBRY HILLS,1413,1695
EMORY ROAD,839,1130
EMORY SOUTH,2412,2943
EPWORTH,3070,3505
EVANSDALE ELEM,1867,2389
FAIRINGTON ELEM,2361,3724
FERNBANK ELEM,1723,1937
FLAKES MILL FIRE STATION,1187,1569
FLAT ROCK ELEM,1817,2332
FLAT SHOALS,1159,1825
FLAT SHOALS ELEM,1182,1744
FLAT SHOALS LIBRARY,1262,1961
FLAT SHOALS PARKWAY,2201,2816
FREEDOM MIDDLE,1745,2419
GEORGETOWN SQUARE,2335,3139
GLENHAVEN,931,1321
GLENNWOOD - 04,674,770
GLENNWOOD - 05,858,1117
GLENWOOD ROAD,1060,1582
GRESHAM ROAD,1953,2737
HAMBRICK ELEM,1913,2703
HARRIS-MARGARET HARRIS ED,1278,1563
HARRIS-NARVIE J. HARRIS ELEM,2308,3065
HAWTHORNE ELEM,2425,3166
HENDERSON MILL ELEM,2128,2595
HUGH HOWELL,1364,1569
HUNTLEY HILLS ELEM,1968,2560
IDLEWOOD ELEM,1290,1739
INDIAN CREEK ELEM,1039,1670
JOHNSON ESTATES,944,1077
JOLLY ELEM,1746,2513
KELLEY CHAPEL ROAD,866,1133
KELLEY LAKE ELEM,1588,2401
KING-ML KING JR HIGH,2923,3652
KINGSLEY ELEM,1901,2208
KNOLLWOOD ELEM,1309,1894
KITTREDGE ELEM,1611,1884
LAKESIDE HIGH,2383,2760
LAVISTA,1951,2602
LAVISTA ROAD,1512,1856
LIN-MARY LIN ELEM,2214,2609
LITHONIA,684,1036
LITHONIA HIGH,1683,2467
LIVSEY ELEM,1126,1295
MARBUT ELEM,2403,3372
MATHIS-BOB MATHIS ELEM,1826,2273
MCLENDON,1451,1972
MCNAIR ACADEMY,1219,1628
MCNAIR HIGH,2290,3081
MCNAIR MIDDLE,1323,1925
MCWILLIAMS,1452,1884
MEADOWVIEW ELEM,1900,2733
MEDLOCK ELEM,1652,1928
MEMORIAL SOUTH,1302,2182
METROPOLITAN,1981,2557
MIDVALE ELEM,1578,1828
MIDVALE ROAD,2016,2437
MIDWAY ELEM,1457,2296
MILLER-ELDRIDGE L. MILLER ELEM,1863,2555
MILLER GROVE HIGH,1540,2378
MILLER GROVE MIDDLE,2109,3263
MILLER GROVE ROAD,1416,1775
MONTCLAIR ELEM,1181,1699
MONTGOMERY ELEM,1757,2072
MONTREAL,1128,1407
MT. VERNON EAST,1969,2273
MT. VERNON WEST,1685,1952
NORTH DECATUR,1101,1496
NORTH HAIRSTON,1242,1747
NORTH PEACHTREE,1113,1483
NORTHLAKE,1098,1271
OAK GROVE ELEM,1668,1930
OAK VIEW ELEM,2667,3735
OAKCLIFF ELEM,1005,1452
OAKHURST,2205,2519
PANOLA,909,1182
PANOLA ROAD,1214,1632
PANOLA WAY ELEM,1041,1650
PEACHCREST ELEM,1123,1703
PEACHTREE MIDDLE,2151,2774
PINE LAKE,429,512
PINEY GROVE,1016,1553
PLEASANTDALE ELEM,2102,3192
PONCE DE LEON,1779,2176
PRINCETON ELEM,1398,1811
RAINBOW ELEM,2298,2979
REDAN ELEM,1816,2427
REDAN MIDDLE,1483,1978
REDAN ROAD,1539,2171
REDAN-TROTTI LIBRARY,2174,2996
REHOBOTH,1533,1811
RENFROE MIDDLE,1257,1445
ROCK CHAPEL ELEM,1618,2161
ROCK CHAPEL ROAD,2230,2948
ROCKBRIDGE ELEM,1734,2726
ROCKBRIDGE ROAD,2310,2902
ROWLAND ELEM,1739,2810
ROWLAND ROAD,1192,1588
SAGAMORE HILLS ELEM,2297,2614
SALEM MIDDLE,2282,2826
SCOTT,1743,2096
SHADOW ROCK ELEM,2657,3370
SHAMROCK,1174,1365
SHAW-ROBERT SHAW ELEM,2093,2740
SILVER LAKE,3139,3915
SKYLAND,1314,1582
SMOKE RISE ELEM,1577,1828
SNAPFINGER ELEM,1171,1524
SNAPFINGER ROAD NORTH,1275,1927
SNAPFINGER ROAD SOUTH,1272,1610
SOUTH DESHON,2021,2714
SOUTH HAIRSTON,2033,2871
STEPHENSON HIGH,2056,2695
STEPHENSON MIDDLE,2238,2902
STONE MILL ELEM,1372,2463
STONE MOUNTAIN CHAMPION,1466,2223
STONE MOUNTAIN ELEM,1493,1904
STONE MOUNTAIN LIBRARY,842,1209
STONE MOUNTAIN MIDDLE,1186,2209
STONEVIEW ELEM,837,1295
TERRY MILL ELEM,1523,2119
TILLY MILL ROAD,1180,1363
TONEY ELEM,976,1372
TUCKER,2192,2611
TUCKER LIBRARY,1798,2245
VALLEY BROOK,672,814
WADSWORTH ELEM - 05,503,713
WADSWORTH ELEM - 04,1132,1691
WARREN TECH,843,1076
WESLEY CHAPEL LIBRARY,1982,2470
WHITE OAK,1434,2156
WHITEFOORD ELEM,2354,3138
WINNONA PARK ELEM,1522,1763
WINTERS CHAPEL,1084,1248
WOODRIDGE ELEM,1992,2830
WOODROW ROAD,3387,4871
WOODWARD ELEM,1470,1893
WYNBROOKE ELEM,2279,2842
YOUNG ROAD,1213,1562
