precinct,DEM,DEM_AbsenteebyMail,DEM_AdvanceinPerson,DEM_ElectionDay,DEM_Provisional,REP,REP_AbsenteebyMail,REP_AdvanceinPerson,REP_ElectionDay,REP_Provisional,RodneyStooksbury,RodneyStooksbury_AbsenteebyMail,RodneyStooksbury_AdvanceinPerson,RodneyStooksbury_ElectionDay,RodneyStooksbury_Provisional,TomPrice,TomPrice_AbsenteebyMail,TomPrice_AdvanceinPerson,TomPrice_ElectionDay,TomPrice_Provisional
ASHFORD DUNWOODY RD,790,61,455,274,0,1252,89,547,616,0,790,61,455,274,0,1252,89,547,616,0
ASHFORD PARK ELEM,554,26,306,221,1,1116,52,506,558,0,554,26,306,221,1,1116,52,506,558,0
ASHFORD PARKSIDE,1071,190,494,387,0,1281,93,609,576,3,1071,190,494,387,0,1281,93,609,576,3
AUSTIN,505,43,311,150,1,1407,114,654,638,1,505,43,311,150,1,1407,114,654,638,1
BRIARLAKE ELEM,575,39,319,217,0,667,46,298,323,0,575,39,319,217,0,667,46,298,323,0
BRIARWOOD,708,38,370,299,1,737,33,340,363,1,708,38,370,299,1,737,33,340,363,1
BROOKHAVEN,829,54,471,303,1,1408,51,619,735,3,829,54,471,303,1,1408,51,619,735,3
CHAMBLEE,558,32,360,166,0,470,19,280,170,1,558,32,360,166,0,470,19,280,170,1
CHAMBLEE 2,770,29,535,206,0,948,42,590,315,1,770,29,535,206,0,948,42,590,315,1
CHESNUT ELEM,833,37,484,312,0,550,41,258,251,0,833,37,484,312,0,550,41,258,251,0
CROSS KEYS HIGH,616,33,336,247,0,698,44,319,333,2,616,33,336,247,0,698,44,319,333,2
DORAVILLE NORTH,986,36,450,498,2,473,34,170,269,0,986,36,450,498,2,473,34,170,269,0
DORAVILLE SOUTH,445,5,203,237,0,259,20,80,159,0,445,5,203,237,0,259,20,80,159,0
DRESDEN ELEM,1688,89,886,712,1,976,54,467,454,1,1688,89,886,712,1,976,54,467,454,1
DUNWOODY,829,61,489,278,1,1002,83,542,374,3,829,61,489,278,1,1002,83,542,374,3
DUNWOODY HIGH,429,49,256,124,0,1072,124,542,405,1,429,49,256,124,0,1072,124,542,405,1
DUNWOODY LIBRARY,461,40,318,103,0,1420,124,797,498,1,461,40,318,103,0,1420,124,797,498,1
EMBRY HILLS,689,40,406,242,1,649,55,326,267,1,689,40,406,242,1,649,55,326,267,1
EVANSDALE ELEM,1086,51,650,385,0,701,61,341,299,0,1086,51,650,385,0,701,61,341,299,0
GEORGETOWN SQUARE,1071,38,637,394,2,1142,60,545,535,2,1071,38,637,394,2,1142,60,545,535,2
HAWTHORNE ELEM,1522,63,880,579,0,798,46,366,386,0,1522,63,880,579,0,798,46,366,386,0
HENDERSON MILL ELEM,1085,69,676,340,0,920,67,514,339,0,1085,69,676,340,0,920,67,514,339,0
HUNTLEY HILLS ELEM,1195,41,642,511,1,687,38,342,307,0,1195,41,642,511,1,687,38,342,307,0
KINGSLEY ELEM,517,62,301,154,0,1313,121,642,550,0,517,62,301,154,0,1313,121,642,550,0
KITTREDGE ELEM,602,54,370,174,4,949,76,526,347,0,602,54,370,174,4,949,76,526,347,0
LAKESIDE HIGH,1128,90,645,393,0,1138,115,567,455,1,1128,90,645,393,0,1138,115,567,455,1
LIVSEY ELEM,482,27,345,110,0,591,42,352,197,0,482,27,345,110,0,591,42,352,197,0
MIDVALE ELEM,592,33,427,131,1,895,68,532,295,0,592,33,427,131,1,895,68,532,295,0
MIDVALE ROAD,1135,48,721,366,0,794,58,398,338,0,1135,48,721,366,0,794,58,398,338,0
MONTGOMERY ELEM,614,50,332,232,0,1058,96,491,470,1,614,50,332,232,0,1058,96,491,470,1
MT. VERNON EAST,502,36,311,155,0,1382,98,718,566,0,502,36,311,155,0,1382,98,718,566,0
MT. VERNON WEST,552,46,346,160,0,1066,97,529,440,0,552,46,346,160,0,1066,97,529,440,0
NORTH PEACHTREE,590,20,283,286,1,470,31,187,252,0,590,20,283,286,1,470,31,187,252,0
OAKCLIFF ELEM,642,25,248,369,0,297,23,110,163,1,642,25,248,369,0,297,23,110,163,1
PEACHTREE MIDDLE,1238,58,762,415,3,809,72,401,336,0,1238,58,762,415,3,809,72,401,336,0
PLEASANTDALE ELEM,1563,33,804,720,6,442,32,228,182,0,1563,33,804,720,6,442,32,228,182,0
SILVER LAKE,1181,96,729,356,0,1797,105,961,731,0,1181,96,729,356,0,1797,105,961,731,0
SKYLAND,497,26,254,215,2,738,33,288,416,1,497,26,254,215,2,738,33,288,416,1
TILLY MILL ROAD,354,31,167,156,0,776,57,293,426,0,354,31,167,156,0,776,57,293,426,0
TUCKER,980,57,685,238,0,1059,70,648,341,0,980,57,685,238,0,1059,70,648,341,0
TUCKER LIBRARY,982,27,701,254,0,719,45,448,226,0,982,27,701,254,0,719,45,448,226,0
WARREN TECH,479,27,211,241,0,320,27,107,186,0,479,27,211,241,0,320,27,107,186,0
WINTERS CHAPEL,401,23,211,166,1,633,44,234,355,0,401,23,211,166,1,633,44,234,355,0
