precinct,DEM,DEM_AbsenteebyMail,DEM_AdvanceinPerson,DEM_ElectionDay,DEM_Provisional,DonaldJTrump,DonaldJTrump_AbsenteebyMail,DonaldJTrump_AdvanceinPerson,DonaldJTrump_ElectionDay,DonaldJTrump_Provisional,GaryJohnson,GaryJohnson_AbsenteebyMail,GaryJohnson_AdvanceinPerson,GaryJohnson_ElectionDay,GaryJohnson_Provisional,HillaryClinton,HillaryClinton_AbsenteebyMail,HillaryClinton_AdvanceinPerson,HillaryClinton_ElectionDay,HillaryClinton_Provisional,LIB,LIB_AbsenteebyMail,LIB_AdvanceinPerson,LIB_ElectionDay,LIB_Provisional,REP,REP_AbsenteebyMail,REP_AdvanceinPerson,REP_ElectionDay,REP_Provisional
01A,1898,83,995,815,5,173,5,69,99,0,97,4,39,54,0,1898,83,995,815,5,97,4,39,54,0,173,5,69,99,0
01B,2304,78,959,1267,0,243,9,64,170,0,125,3,33,89,0,2304,78,959,1267,0,125,3,33,89,0,243,9,64,170,0
01C,580,15,221,344,0,19,0,5,14,0,13,0,3,10,0,580,15,221,344,0,13,0,3,10,0,19,0,5,14,0
01D,268,25,147,96,0,23,3,9,11,0,6,1,2,3,0,268,25,147,96,0,6,1,2,3,0,23,3,9,11,0
01E,2932,119,1610,1193,10,283,10,132,141,0,144,2,48,93,1,2932,119,1610,1193,10,144,2,48,93,1,283,10,132,141,0
01F,443,11,167,262,3,16,0,4,12,0,11,0,3,8,0,443,11,167,262,3,11,0,3,8,0,16,0,4,12,0
01H,378,14,162,202,0,20,0,5,15,0,10,0,1,9,0,378,14,162,202,0,10,0,1,9,0,20,0,5,15,0
01J,1159,38,605,511,5,41,1,19,20,1,35,0,21,14,0,1159,38,605,511,5,35,0,21,14,0,41,1,19,20,1
01P,577,29,169,378,1,17,1,6,10,0,11,0,2,9,0,577,29,169,378,1,11,0,2,9,0,17,1,6,10,0
01R,564,5,130,419,10,7,0,1,6,0,7,0,3,3,1,564,5,130,419,10,7,0,3,3,1,7,0,1,6,0
01S,801,22,345,426,8,25,4,11,10,0,10,0,2,8,0,801,22,345,426,8,10,0,2,8,0,25,4,11,10,0
01T,695,21,260,414,0,49,3,19,27,0,20,0,9,11,0,695,21,260,414,0,20,0,9,11,0,49,3,19,27,0
02A,1814,146,1067,599,2,455,25,218,211,1,133,11,60,62,0,1814,146,1067,599,2,133,11,60,62,0,455,25,218,211,1
02B,1048,28,504,515,1,178,12,53,113,0,32,3,8,21,0,1048,28,504,515,1,32,3,8,21,0,178,12,53,113,0
02C,1121,38,512,564,7,90,3,31,55,1,48,1,18,29,0,1121,38,512,564,7,48,1,18,29,0,90,3,31,55,1
02D,2177,86,1069,1018,4,239,10,73,156,0,113,2,36,75,0,2177,86,1069,1018,4,113,2,36,75,0,239,10,73,156,0
02E,1215,56,503,651,5,154,3,46,104,1,60,2,17,41,0,1215,56,503,651,5,60,2,17,41,0,154,3,46,104,1
02F1,1704,68,941,692,3,216,8,108,100,0,107,2,43,62,0,1704,68,941,692,3,107,2,43,62,0,216,8,108,100,0
02F2,420,19,216,184,1,47,2,21,24,0,19,0,8,10,1,420,19,216,184,1,19,0,8,10,1,47,2,21,24,0
02G,1968,73,1085,808,2,247,11,105,131,0,105,2,41,62,0,1968,73,1085,808,2,105,2,41,62,0,247,11,105,131,0
02J,1844,654,521,657,12,220,58,59,101,2,94,21,28,45,0,1844,654,521,657,12,94,21,28,45,0,220,58,59,101,2
02K,819,36,347,436,0,120,5,41,74,0,57,3,17,37,0,819,36,347,436,0,57,3,17,37,0,120,5,41,74,0
02L1,2965,168,1528,1245,24,552,29,195,325,3,198,9,82,102,5,2965,168,1528,1245,24,198,9,82,102,5,552,29,195,325,3
02L2,575,25,329,220,1,130,13,55,62,0,28,2,11,14,1,575,25,329,220,1,28,2,11,14,1,130,13,55,62,0
02S,394,24,181,189,0,30,0,13,17,0,13,0,4,9,0,394,24,181,189,0,13,0,4,9,0,30,0,13,17,0
02W,219,8,99,112,0,52,3,21,28,0,25,0,9,16,0,219,8,99,112,0,25,0,9,16,0,52,3,21,28,0
03A,763,24,323,412,4,22,2,7,12,1,5,0,1,4,0,763,24,323,412,4,5,0,1,4,0,22,2,7,12,1
03B,203,18,78,105,2,2,0,1,1,0,2,0,0,2,0,203,18,78,105,2,2,0,0,2,0,2,0,1,1,0
03C,738,52,327,355,4,14,0,5,9,0,10,0,3,7,0,738,52,327,355,4,10,0,3,7,0,14,0,5,9,0
03D,391,21,163,207,0,10,0,2,8,0,6,0,1,5,0,391,21,163,207,0,6,0,1,5,0,10,0,2,8,0
03E,885,21,325,532,7,40,0,18,21,1,16,0,7,9,0,885,21,325,532,7,16,0,7,9,0,40,0,18,21,1
03F,933,56,506,371,0,174,12,71,91,0,72,5,21,46,0,933,56,506,371,0,72,5,21,46,0,174,12,71,91,0
03G,302,17,96,185,4,6,0,1,5,0,6,0,4,2,0,302,17,96,185,4,6,0,4,2,0,6,0,1,5,0
