precinct,ballotsCast,totalVoters
01A,2221,2714
01B,2748,3337
01C,620,1120
01D,307,430
01E,3462,4652
01F,482,981
01H,419,661
01J,1265,2030
01P,615,1000
01R,581,1107
01S,848,1391
01T,785,1196
02A,2450,3211
02B,1294,2895
02C,1295,1725
02D,2591,3582
02E,1466,1733
02F1,2080,2589
02F2,491,669
02G,2375,2959
02J,2219,1934
02K,1027,1246
02L1,3790,4934
02L2,746,971
02S,447,620
02W,301,422
03A,803,1673
03B,208,494
03C,780,1294
03D,416,837
03E,961,1776
03F,1203,1647
03G,327,602
03H,416,770
03I,901,1394
03L,219,478
03M,478,663
03N,960,1860
03P1A,2017,3011
03P2,22,26
03S,354,600
03T,783,1320
04A,530,981
04B,997,1924
04C,64,111
04D,745,1239
04F,976,1792
04G,326,667
04I,594,2328
04J,437,1113
04K,1231,1952
04L,813,1296
04M,335,637
04S,1175,1820
04T,563,922
04V,1259,2264
04W,739,1696
04X1,995,1525
04X2,350,608
05A1,1738,2154
05A2,1720,2209
05B,961,1475
05C,71,135
05D,135,312
05F,81,104
05J,422,527
05K,1423,2203
06B,1316,1603
06D,6130,7478
06E,1555,1961
06F,1895,2381
06G,383,464
06I,1820,2553
06J,1939,2271
06L1,697,827
06L2,503,599
06N,1242,1704
06Q,296,429
06R,1172,1515
07A,4201,5418
07B,2218,2599
07C,2619,3351
07D,2489,3269
07E,1423,1748
07F,2048,2570
07H,1480,1790
07J,1954,2359
07M,1333,1851
07N,1063,1561
08A,2018,2482
08B,2394,2895
08C,1007,1254
08D,787,947
08E,1971,2312
08F1,1641,1921
08G,1716,2464
08H,1843,2211
08J,2143,2441
08K,754,924
08L,2692,3357
08M,1352,1583
08N1,603,711
08N2,961,1143
08P,871,1195
09A,2189,2755
09B,205,318
09C,1640,2433
09D,949,1604
09E,1331,2095
09F,2722,3202
09G,2081,2681
09H,603,837
09I,544,1073
09K,2028,3588
09M,1455,1726
10A,1792,2418
10B,2650,3368
10C,1305,2113
10D,2149,3555
10E,569,817
10F,634,901
10G,859,1109
10H1,227,333
10H2,1165,1882
10I,262,306
10J,463,797
10K,901,1213
10M,1322,2075
10P,750,1149
10R,388,595
11B,3181,4347
11C,1957,2494
11E1,659,967
11E2,515,719
11E3,1798,2570
11G,1021,1840
11H,369,548
11J,1045,1575
11K,1139,1526
11M,1652,2554
11N,1461,1931
11P,1064,1574
11R,804,1523
12A,2646,3914
12D,606,1048
12E1,619,1293
12F,463,781
12G,462,689
12H,1763,2931
12I,444,812
12J,1263,2139
12K,1444,2446
12L,259,471
12M,1296,2073
12N,381,729
12S,960,1474
AP01A,1393,1739
AP01B,492,685
AP01C,1608,1952
AP01D,554,713
AP02B,246,352
AP03,417,619
AP04A,1252,1472
AP04B,322,364
AP05,3257,3956
AP06,1340,1647
AP07A,2225,2853
AP07B,1146,1353
AP09A,2914,3612
AP09B,562,681
AP021,2089,2491
AP022,1490,1860
AP10,729,866
AP12A,420,548
AP12B,390,529
AP12C,874,1116
AP13,1847,2248
AP14,2213,2643
CH01,160,225
CH02,322,396
CH03,246,288
CH04A,407,474
CH05,280,341
CP01B,243,332
CP011,693,950
CP012,799,1043
CP02,560,840
CP04,26,59
CP05B,60,101
CP051,939,1439
CP06A,232,432
CP07A,468,1002
CP081,145,328
CP083,85,239
CP08A,222,514
EP01,2974,4426
EP02,3041,4569
EP03,3623,4894
EP04-05,2688,4275
EP04-13,1069,1474
FA01A,4946,6522
FA01B,392,524
HP01,1823,2537
JC01,3377,4228
JC02,1477,1836
JC03A,421,473
JC03B,985,1224
JC04A,3043,3649
JC04B,178,230
JC05,1503,1864
JC06,1835,2350
JC07,2762,3463
JC08,1989,2395
JC09,1999,2502
JC10,1524,1921
JC11,2278,2794
JC12,1836,2197
JC13A,1560,1898
JC13B,210,259
JC14,1825,2197
JC15,535,676
JC16,1862,2195
JC18,2049,2455
JC19,2701,3221
ML011,1740,2050
ML012,352,430
ML01B,60,70
ML021,1331,1627
ML022,162,204
ML023,1050,1281
ML024,78,88
ML03,2755,3312
ML04A,1254,1528
ML04B,882,1061
ML04C,72,74
ML05A,33,35
ML05B,279,329
ML05C,2826,3503
ML06A,1132,1514
ML06B,1875,2340
ML071,80,84
ML072,818,952
ML07A,505,615
MP01,339,408
PA01,1517,2057
RW01,3541,4176
RW02,2924,3443
RW03,2858,3605
RW04,1396,1634
RW05,1233,1739
RW06,2025,2459
RW07A,706,1110
RW07B,252,317
RW08,1618,1955
RW09,4498,5303
RW10,2504,2944
RW11A,1810,2250
RW12,4505,5256
RW13,2592,3127
RW16,1381,1641
RW17,1800,2351
RW19,1550,1834
RW20,2068,2224
RW21,2336,2833
RW22A,2539,3384
SC01B,2871,3501
SC02,665,780
SC04,644,797
SC05A,453,542
SC05B,2141,2699
SC05D,1689,2122
SC07A,3523,4442
SC08B,2048,2742
SC08C,58,62
SC08D,337,433
SC08E,287,373
SC08F,393,593
SC08G,2,15
SC09A,1899,2725
SC09B,1102,1392
SC10,843,1436
SC11A,869,1183
SC11B,979,1325
SC13,1606,2041
SC14,566,1079
SC15,4198,5207
SC16,2988,3759
SC17A,36,48
SC17C,695,954
SC18A,329,429
SC18B,3366,4047
SC19A,118,155
SC19B,730,1102
SC211,789,987
SC212,1915,2557
SC23A,3115,4341
SC23B,311,407
SC27,1349,1871
SC29A,1731,2352
SC30A,97,122
SC30B,600,858
SS01,2276,2698
SS02A,801,1017
SS02B,797,1049
SS03,1015,1194
SS04,2071,2703
SS05,1428,1629
SS06,1064,1203
SS07A,678,821
SS07B,370,456
SS07C,511,686
SS08A,825,1063
SS08B,447,566
SS08C,394,509
SS08D,771,1001
SS09A,2255,2713
SS09B,2578,3068
SS11A,2497,3165
SS11B,771,1009
