precinct,DEM,DEM_AbsenteebyMail,DEM_AdvanceinPerson,DEM_ElectionDay,DEM_Provisional,REP,REP_AbsenteebyMail,REP_AdvanceinPerson,REP_ElectionDay,REP_Provisional,RodneyStooksbury,RodneyStooksbury_AbsenteebyMail,RodneyStooksbury_AdvanceinPerson,RodneyStooksbury_ElectionDay,RodneyStooksbury_Provisional,TomPrice,TomPrice_AbsenteebyMail,TomPrice_AdvanceinPerson,TomPrice_ElectionDay,TomPrice_Provisional
02J,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0
AP01A,432,30,288,112,2,916,52,620,243,1,432,30,288,112,2,916,52,620,243,1
AP01B,212,5,144,62,1,253,16,158,79,0,212,5,144,62,1,253,16,158,79,0
AP01C,507,28,359,120,0,1056,67,720,269,0,507,28,359,120,0,1056,67,720,269,0
AP01D,243,15,159,69,0,286,21,179,86,0,243,15,159,69,0,286,21,179,86,0
AP02B,79,32,36,11,0,149,55,70,24,0,79,32,36,11,0,149,55,70,24,0
AP03,279,3,139,136,1,118,1,48,69,0,279,3,139,136,1,118,1,48,69,0
AP04A,337,15,247,74,1,878,63,576,238,1,337,15,247,74,1,878,63,576,238,1
AP04B,103,4,80,19,0,206,12,140,54,0,103,4,80,19,0,206,12,140,54,0
AP05,946,56,648,238,4,2211,132,1327,750,2,946,56,648,238,4,2211,132,1327,750,2
AP06,330,12,256,62,0,957,43,691,223,0,330,12,256,62,0,957,43,691,223,0
AP07A,816,48,544,224,0,1299,83,751,464,1,816,48,544,224,0,1299,83,751,464,1
AP07B,322,18,243,61,0,763,51,506,203,3,322,18,243,61,0,763,51,506,203,3
AP09A,1059,68,703,286,2,1734,114,1124,492,4,1059,68,703,286,2,1734,114,1124,492,4
AP09B,265,7,191,67,0,276,9,195,72,0,265,7,191,67,0,276,9,195,72,0
AP021,705,26,515,162,2,1304,91,905,306,2,705,26,515,162,2,1304,91,905,306,2
AP022,605,32,451,122,0,829,63,532,234,0,605,32,451,122,0,829,63,532,234,0
AP10,188,17,125,44,2,520,25,338,157,0,188,17,125,44,2,520,25,338,157,0
AP12A,217,5,125,87,0,178,5,111,62,0,217,5,125,87,0,178,5,111,62,0
AP12B,219,7,131,81,0,146,2,85,59,0,219,7,131,81,0,146,2,85,59,0
