county,DEM,DEM_AbsenteebyMail,DEM_AdvanceinPerson,DEM_ElectionDay,DEM_Provisional,DonaldJTrump,DonaldJTrump_AbsenteebyMail,DonaldJTrump_AdvanceinPerson,DonaldJTrump_ElectionDay,DonaldJTrump_Provisional,GaryJohnson,GaryJohnson_AbsenteebyMail,GaryJohnson_AdvanceinPerson,GaryJohnson_ElectionDay,GaryJohnson_Provisional,HillaryClinton,HillaryClinton_AbsenteebyMail,HillaryClinton_AdvanceinPerson,HillaryClinton_ElectionDay,HillaryClinton_Provisional,LIB,LIB_AbsenteebyMail,LIB_AdvanceinPerson,LIB_ElectionDay,LIB_Provisional,REP,REP_AbsenteebyMail,REP_AdvanceinPerson,REP_ElectionDay,REP_Provisional
Appling,1434,159,598,677,0,5494,362,2182,2948,2,77,9,27,41,0,1434,159,598,677,0,77,9,27,41,0,5494,362,2182,2948,2
Atkinson,697,30,299,367,1,1878,58,972,843,5,35,1,10,24,0,697,30,299,367,1,35,1,10,24,0,1878,58,972,843,5
Bacon,608,37,303,268,0,3364,134,2082,1142,6,47,4,22,21,0,608,37,303,268,0,47,4,22,21,0,3364,134,2082,1142,6
Baker,650,69,261,319,1,775,76,302,396,1,15,1,3,11,0,650,69,261,319,1,15,1,3,11,0,775,76,302,396,1
Baldwin,7970,724,4099,3143,4,7697,330,4433,2929,5,419,27,200,192,0,7970,724,4099,3143,4,419,27,200,192,0,7697,330,4433,2929,5
Banks,684,40,292,352,0,6134,195,2858,3079,2,132,6,49,77,0,684,40,292,352,0,132,6,49,77,0,6134,195,2858,3079,2
Barrow,6580,371,3377,2832,0,21108,755,11471,8881,1,1143,46,441,656,0,6580,371,3377,2832,0,1143,46,441,656,0,21108,755,11471,8881,1
Bartow,8212,440,3715,4051,6,29911,1038,13327,15525,21,1183,44,349,788,2,8212,440,3715,4051,6,1183,44,349,788,2,29911,1038,13327,15525,21
Ben Hill,2101,117,1311,670,3,3739,115,2712,907,5,91,11,47,33,0,2101,117,1311,670,3,91,11,47,33,0,3739,115,2712,907,5
Berrien,1047,90,444,508,5,5422,267,2790,2351,14,115,13,46,55,1,1047,90,444,508,5,115,13,46,55,1,5422,267,2790,2351,14
Bibb,36787,2241,18265,16118,163,24043,1413,9998,12591,41,1447,85,452,903,7,36787,2241,18265,16118,163,1447,85,452,903,7,24043,1413,9998,12591,41
Bleckley,1101,113,502,479,7,3719,136,2076,1505,2,123,1,66,56,0,1101,113,502,479,7,123,1,66,56,0,3719,136,2076,1505,2
Brantley,619,42,273,304,0,5567,200,2851,2510,6,106,5,34,66,1,619,42,273,304,0,106,5,34,66,1,5567,200,2851,2510,6
Brooks,2528,460,1003,1041,24,3701,156,1754,1769,22,89,5,37,43,4,2528,460,1003,1041,24,89,5,37,43,4,3701,156,1754,1769,22
Bryan,4014,235,2312,1465,2,10529,286,6336,3899,8,542,30,256,256,0,4014,235,2312,1465,2,542,30,256,256,0,10529,286,6336,3899,8
Bulloch,9261,430,4851,3961,19,15097,591,7142,7334,30,890,27,405,458,0,9261,430,4851,3961,19,890,27,405,458,0,15097,591,7142,7334,30
Burke,4731,654,1593,2484,0,4491,256,1981,2254,0,129,12,41,76,0,4731,654,1593,2484,0,129,12,41,76,0,4491,256,1981,2254,0
Butts,2566,88,1664,814,0,6717,186,4762,1769,0,194,6,118,70,0,2566,88,1664,814,0,194,6,118,70,0,6717,186,4762,1769,0
Calhoun,1179,106,321,751,1,830,44,340,445,1,16,0,3,13,0,1179,106,321,751,1,16,0,3,13,0,830,44,340,445,1
Camden,5930,466,3364,2092,8,12310,608,6813,4876,13,629,48,250,331,0,5930,466,3364,2092,8,629,48,250,331,0,12310,608,6813,4876,13
Candler,1026,46,597,380,3,2664,86,2008,567,3,73,5,33,35,0,1026,46,597,380,3,73,5,33,35,0,2664,86,2008,567,3
Carroll,12464,543,6898,4983,40,30029,901,16070,13018,40,1346,35,563,741,7,12464,543,6898,4983,40,1346,35,563,741,7,30029,901,16070,13018,40
Catoosa,4771,182,2937,1650,2,20876,460,13573,6827,16,881,32,388,461,0,4771,182,2937,1650,2,881,32,388,461,0,20876,460,13573,6827,16
Charlton,1004,55,513,434,2,2951,158,1567,1220,6,54,7,23,24,0,1004,55,513,434,2,54,7,23,24,0,2951,158,1567,1220,6
Chatham,62290,3116,21310,37801,63,45688,1915,13462,30267,44,3503,125,669,2704,5,62290,3116,21310,37801,63,3503,125,669,2704,5,45688,1915,13462,30267,44
Chattahoochee,594,29,284,280,1,751,34,292,420,5,45,2,16,27,0,594,29,284,280,1,45,2,16,27,0,751,34,292,420,5
Chattooga,1613,82,827,703,1,6462,144,3279,3034,5,177,6,69,102,0,1613,82,827,703,1,177,6,69,102,0,6462,144,3279,3034,5
Cherokee,25231,1574,13410,10241,6,80649,3546,45545,31540,18,5015,245,1996,2772,2,25231,1574,13410,10241,6,5015,245,1996,2772,2,80649,3546,45545,31540,18
Clarke,29603,1648,15991,11898,66,12717,939,6079,5678,21,2019,74,832,1110,3,29603,1648,15991,11898,66,2019,74,832,1110,3,12717,939,6079,5678,21
Clay,697,69,261,366,1,566,36,366,162,2,8,0,2,6,0,697,69,261,366,1,8,0,2,6,0,566,36,366,162,2
Clayton,78220,2179,47341,28567,133,12645,889,7621,4119,16,1647,54,794,794,5,78220,2179,47341,28567,133,1647,54,794,794,5,12645,889,7621,4119,16
