county,ballotsCast,totalVoters
Appling,7067,9242
Atkinson,2623,3695
Bacon,4034,5385
Baker,1453,1974
Baldwin,16288,21052
Banks,7034,8581
Barrow,29254,37213
Bartow,39855,52253
Ben Hill,5994,7899
Berrien,6636,10920
Bibb,63152,86854
Bleckley,5018,6162
Brantley,6341,8304
Brooks,6390,8642
Bryan,15317,20151
Bulloch,25695,34926
Burke,9458,12481
Butts,9587,12556
Calhoun,2043,2694
Camden,19135,25319
Candler,3802,4671
Carroll,44584,57251
Catoosa,27041,34831
Charlton,4062,5154
Chatham,113555,155339
Chattahoochee,1409,4247
Chattooga,8373,11099
Cherokee,113180,138809
Clarke,45688,60411
Clay,1285,1731
Clayton,93843,134164
Clinch,2477,3499
Cobb,335466,424176
Coffee,14083,18897
Colquitt,13745,18468
Columbia,65428,81492
Cook,6118,8037
Coweta,62421,78788
Crawford,5217,6525
Crisp,7586,10228
Dade,6402,8588
Dawson,11860,14591
Decatur,10355,13821
DeKalb,319285,419871
Dodge,7062,11169
Dooly,3888,5295
Dougherty,34446,49074
Douglas,58300,74636
Early,4832,6471
Echols,1184,1579
Effingham,23682,30029
Elbert,8073,10200
Emanuel,7938,10534
Evans,3659,4684
Fannin,11937,14684
Fayette,61766,73831
Floyd,35017,45654
Forsyth,99323,119848
Franklin,8584,13086
Fulton,441262,590362
Gilmer,12896,15748
Glascock,1403,1733
Glynn,34583,44972
Gordon,19129,24934
Grady,9309,12061
Greene,8987,10895
Gwinnett,332149,430935
Habersham,16379,20380
Hall,71383,90807
Hancock,3604,5407
Haralson,11482,14488
Harris,16667,20235
Hart,10209,12862
Heard,4258,5555
Henry,99666,125837
Houston,60565,79199
Irwin,3693,4963
Jackson,27491,33719
Jasper,6082,7671
Jeff Davis,5130,6784
Jefferson,7007,9256
Jenkins,3082,4258
Johnson,3711,4702
Jones,12647,15398
Lamar,7671,9786
Lanier,2897,4104
Laurens,19685,25051
Lee,14290,17841
Liberty,16356,24858
Lincoln,4144,5949
Long,4158,6052
Lowndes,38204,53910
Lumpkin,12560,15618
Macon,4321,6012
Madison,12114,15118
Marion,3215,4224
McDuffie,9355,11967
McIntosh,5980,9126
Meriwether,9283,12166
Miller,2563,3461
Mitchell,7930,10761
Monroe,12815,16098
Montgomery,3595,4681
Morgan,9582,11471
Murray,12555,16466
Muscogee,69817,100700
Newton,44357,58302
Oconee,20476,24058
Oglethorpe,6755,8087
Paulding,65636,82336
Peach,10848,14630
Pickens,14174,17319
Pierce,7360,9283
Pike,8793,10620
Polk,14323,20268
Pulaski,3631,4720
Putnam,9573,13964
Quitman,1053,1431
Rabun,8110,9884
Randolph,2922,3914
Richmond,76304,105642
Rockdale,38229,50003
Schley,1929,2364
Screven,5756,7512
Seminole,3619,4905
Spalding,25914,34832
Stephens,9932,13132
Stewart,2084,2917
Sumter,11101,15181
Talbot,3278,4138
Taliaferro,904,1157
Tattnall,6986,9299
Taylor,3432,4372
Telfair,3827,5029
Terrell,4233,5871
Thomas,18986,24693
Tift,14334,19040
Toombs,9206,15146
Towns,6858,8608
Treutlen,2729,3773
Troup,26334,35513
Turner,3414,4552
Twiggs,4089,5291
Union,12230,14370
Upson,11032,14058
Walker,24526,32951
Walton,40986,51318
Ware,12282,16254
Warren,2357,3105
Washington,8531,11002
Wayne,10489,13496
Webster,1124,1433
Wheeler,2135,2705
White,11964,14669
Whitfield,30877,39588
Wilcox,3003,3934
Wilkes,4520,5826
Wilkinson,4317,5481
Worth,8349,10724
