precinct,AlexanderHernandez,AlexanderHernandez_AbsenteebyMail,AlexanderHernandez_AdvanceinPerson,AlexanderHernandez_ElectionDay,AlexanderHernandez_Provisional,AmyKremer,AmyKremer_AbsenteebyMail,AmyKremer_AdvanceinPerson,AmyKremer_ElectionDay,AmyKremer_Provisional,AndrePollard,AndrePollard_AbsenteebyMail,AndrePollard_AdvanceinPerson,AndrePollard_ElectionDay,AndrePollard_Provisional,BobGray,BobGray_AbsenteebyMail,BobGray_AdvanceinPerson,BobGray_ElectionDay,BobGray_Provisional,BruceLevell,BruceLevell_AbsenteebyMail,BruceLevell_AdvanceinPerson,BruceLevell_ElectionDay,BruceLevell_Provisional,DEM,DEM_AbsenteebyMail,DEM_AdvanceinPerson,DEM_ElectionDay,DEM_Provisional,DanMoody,DanMoody_AbsenteebyMail,DanMoody_AdvanceinPerson,DanMoody_ElectionDay,DanMoody_Provisional,DavidAbroms,DavidAbroms_AbsenteebyMail,DavidAbroms_AdvanceinPerson,DavidAbroms_ElectionDay,DavidAbroms_Provisional,IND,IND_AbsenteebyMail,IND_AdvanceinPerson,IND_ElectionDay,IND_Provisional,JonOssoff,JonOssoff_AbsenteebyMail,JonOssoff_AdvanceinPerson,JonOssoff_ElectionDay,JonOssoff_Provisional,JudsonHill,JudsonHill_AbsenteebyMail,JudsonHill_AdvanceinPerson,JudsonHill_ElectionDay,JudsonHill_Provisional,KarenHandel,KarenHandel_AbsenteebyMail,KarenHandel_AdvanceinPerson,KarenHandel_ElectionDay,KarenHandel_Provisional,KeithGrawert,KeithGrawert_AbsenteebyMail,KeithGrawert_AdvanceinPerson,KeithGrawert_ElectionDay,KeithGrawert_Provisional,KurtWilson,KurtWilson_AbsenteebyMail,KurtWilson_AdvanceinPerson,KurtWilson_ElectionDay,KurtWilson_Provisional,MohammadAliBhuiyan,MohammadAliBhuiyan_AbsenteebyMail,MohammadAliBhuiyan_AdvanceinPerson,MohammadAliBhuiyan_ElectionDay,MohammadAliBhuiyan_Provisional,REP,REP_AbsenteebyMail,REP_AdvanceinPerson,REP_ElectionDay,REP_Provisional,RaginEdwards,RaginEdwards_AbsenteebyMail,RaginEdwards_AdvanceinPerson,RaginEdwards_ElectionDay,RaginEdwards_Provisional,RebeccaQuigg,RebeccaQuigg_AbsenteebyMail,RebeccaQuigg_AdvanceinPerson,RebeccaQuigg_ElectionDay,RebeccaQuigg_Provisional,RichardKeatley,RichardKeatley_AbsenteebyMail,RichardKeatley_AdvanceinPerson,RichardKeatley_ElectionDay,RichardKeatley_Provisional,RonSlotin,RonSlotin_AbsenteebyMail,RonSlotin_AdvanceinPerson,RonSlotin_ElectionDay,RonSlotin_Provisional,WilliamLlop,WilliamLlop_AbsenteebyMail,WilliamLlop_AdvanceinPerson,WilliamLlop_ElectionDay,WilliamLlop_Provisional
Addison 01,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,142,0,11,131,0,1,0,0,1,0,453,18,92,342,1,67,2,10,55,0,6,0,0,6,0,0,0,0,0,0,447,17,91,338,1,130,1,14,115,0,180,4,23,153,0,2,0,0,2,0,6,0,1,5,0,2,0,0,2,0,539,7,59,473,0,1,1,0,0,0,3,0,0,3,0,0,0,0,0,0,2,0,1,1,0,1,0,0,1,0
Bells Ferry 02,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,180,7,13,160,0,0,0,0,0,0,505,44,95,366,0,76,0,10,66,0,16,0,0,16,0,1,0,0,1,0,495,43,91,361,0,108,3,5,100,0,201,2,21,178,0,2,0,0,2,0,5,0,1,4,0,3,2,0,1,0,591,14,50,527,0,6,1,1,4,0,2,0,2,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Bells Ferry 03,2,0,0,2,0,5,0,0,5,0,1,0,0,1,0,255,7,14,234,0,2,0,0,2,0,780,40,155,582,3,139,6,17,116,0,26,0,1,25,0,3,0,0,3,0,766,39,151,573,3,178,5,6,166,1,385,4,15,366,0,7,1,0,6,0,3,0,1,2,0,2,0,0,2,0,1003,23,54,925,1,2,0,1,1,0,6,0,2,4,0,3,0,1,2,0,3,1,0,2,0,1,0,0,1,0
Blackwell 01,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,125,2,4,119,0,3,0,0,3,0,478,16,115,346,1,81,2,11,68,0,12,0,0,12,0,0,0,0,0,0,477,16,115,345,1,92,8,5,79,0,173,1,9,163,0,2,0,0,2,0,3,0,0,3,0,1,0,0,1,0,494,13,29,452,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chattahoochee 01,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,14,0,4,10,0,0,0,0,0,0,410,17,118,272,3,15,0,4,11,0,1,0,0,1,0,0,0,0,0,0,401,15,116,267,3,19,0,4,15,0,36,0,16,20,0,1,0,1,0,0,2,0,0,2,0,0,0,0,0,0,89,0,29,60,0,4,1,0,3,0,2,1,1,0,0,2,0,0,2,0,1,0,1,0,0,0,0,0,0,0
Chestnut Ridge 01,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,222,5,30,187,0,6,0,0,6,0,586,46,156,384,0,83,1,13,69,0,14,0,0,14,0,0,0,0,0,0,575,46,151,378,0,404,8,57,338,1,305,3,33,269,0,4,0,0,4,0,10,0,0,10,0,1,0,0,1,0,1055,17,133,904,1,4,0,2,2,0,4,0,3,1,0,1,0,0,1,0,2,0,0,2,0,3,0,0,3,0
Dickerson 01,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,134,1,24,109,0,2,0,0,2,0,579,56,195,327,1,87,2,22,63,0,13,0,6,7,0,1,0,0,1,0,577,56,195,325,1,312,9,51,252,0,240,2,40,198,0,2,0,0,2,0,14,0,0,14,0,5,0,1,4,0,810,14,144,652,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Dodgen 01,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,123,4,25,93,1,0,0,0,0,0,391,32,104,252,3,54,0,13,41,0,8,0,2,6,0,0,0,0,0,0,389,31,104,251,3,275,11,45,219,0,186,4,37,145,0,2,0,0,2,0,3,0,0,3,0,1,0,1,0,0,655,19,123,512,1,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Davis 01,1,0,1,0,0,6,0,0,6,0,0,0,0,0,0,130,0,9,121,0,1,0,0,1,0,357,26,55,275,1,60,1,3,56,0,6,0,0,6,0,1,0,1,0,0,351,26,54,270,1,88,3,5,80,0,163,2,11,150,0,2,0,0,2,0,5,0,0,5,0,2,0,1,1,0,466,6,29,431,0,2,0,0,2,0,2,0,0,2,0,1,0,0,1,0,1,0,1,0,0,3,0,0,3,0
Eastside 01,1,0,1,0,0,2,0,0,2,0,0,0,0,0,0,160,9,29,122,0,2,0,0,2,0,614,46,245,323,0,96,5,39,52,0,10,0,2,8,0,1,0,1,0,0,610,46,242,322,0,382,8,99,275,0,227,2,64,161,0,1,0,0,1,0,4,0,0,4,0,3,0,1,2,0,888,24,234,630,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,2,0,1,1,0,1,0,0,1,0
