precinct,ballotsCast,totalVoters
ASHFORD DUNWOODY RD,1374,2590
ASHFORD PARK ELEM,966,2176
ASHFORD PARKSIDE,1310,3156
AUSTIN,1423,2328
BRIARLAKE ELEM,939,1589
BRIARWOOD,797,2050
BROOKHAVEN,1232,3065
CHAMBLEE,554,1495
CHAMBLEE 2,1049,2330
CHESNUT ELEM,794,2025
CROSS KEYS HIGH,627,1880
DORAVILLE NORTH,769,2404
DORAVILLE SOUTH,457,1052
DRESDEN ELEM,1468,4114
DUNWOODY,1019,2649
DUNWOODY HIGH,1064,1842
DUNWOODY LIBRARY,1338,2289
EMBRY HILLS,900,1774
EVANSDALE ELEM,1098,2482
GEORGETOWN SQUARE,1119,3356
HAWTHORNE ELEM,1342,3363
HENDERSON MILL ELEM,1295,2718
HUNTLEY HILLS ELEM,1058,2771
KINGSLEY ELEM,1327,2259
KITTREDGE ELEM,1061,1932
LAKESIDE HIGH,1643,2850
LIVSEY ELEM,773,1320
MIDVALE ELEM,1037,1867
MIDVALE ROAD,1174,2561
MONTGOMERY ELEM,1075,2138
MT. VERNON EAST,1357,2353
MT. VERNON WEST,1115,2017
NORTH PEACHTREE,631,1586
OAKCLIFF ELEM,484,1603
PEACHTREE MIDDLE,1073,2966
PLEASANTDALE ROAD,847,3516
SILVER LAKE,1553,4213
SKYLAND,753,1660
TILLY MILL ROAD,811,1403
TUCKER,1409,2720
TUCKER LIBRARY,997,2368
WARREN TECH,485,1136
WINTERS CHAPEL,741,1283
