precinct,AlexanderHernandez,AlexanderHernandez_AbsenteebyMail,AlexanderHernandez_AdvanceinPerson,AlexanderHernandez_ElectionDay,AlexanderHernandez_Provisional,AmyKremer,AmyKremer_AbsenteebyMail,AmyKremer_AdvanceinPerson,AmyKremer_ElectionDay,AmyKremer_Provisional,AndrePollard,AndrePollard_AbsenteebyMail,AndrePollard_AdvanceinPerson,AndrePollard_ElectionDay,AndrePollard_Provisional,BobGray,BobGray_AbsenteebyMail,BobGray_AdvanceinPerson,BobGray_ElectionDay,BobGray_Provisional,BruceLevell,BruceLevell_AbsenteebyMail,BruceLevell_AdvanceinPerson,BruceLevell_ElectionDay,BruceLevell_Provisional,DEM,DEM_AbsenteebyMail,DEM_AdvanceinPerson,DEM_ElectionDay,DEM_Provisional,DanMoody,DanMoody_AbsenteebyMail,DanMoody_AdvanceinPerson,DanMoody_ElectionDay,DanMoody_Provisional,DavidAbroms,DavidAbroms_AbsenteebyMail,DavidAbroms_AdvanceinPerson,DavidAbroms_ElectionDay,DavidAbroms_Provisional,IND,IND_AbsenteebyMail,IND_AdvanceinPerson,IND_ElectionDay,IND_Provisional,JonOssoff,JonOssoff_AbsenteebyMail,JonOssoff_AdvanceinPerson,JonOssoff_ElectionDay,JonOssoff_Provisional,JudsonHill,JudsonHill_AbsenteebyMail,JudsonHill_AdvanceinPerson,JudsonHill_ElectionDay,JudsonHill_Provisional,KarenHandel,KarenHandel_AbsenteebyMail,KarenHandel_AdvanceinPerson,KarenHandel_ElectionDay,KarenHandel_Provisional,KeithGrawert,KeithGrawert_AbsenteebyMail,KeithGrawert_AdvanceinPerson,KeithGrawert_ElectionDay,KeithGrawert_Provisional,KurtWilson,KurtWilson_AbsenteebyMail,KurtWilson_AdvanceinPerson,KurtWilson_ElectionDay,KurtWilson_Provisional,MohammadAliBhuiyan,MohammadAliBhuiyan_AbsenteebyMail,MohammadAliBhuiyan_AdvanceinPerson,MohammadAliBhuiyan_ElectionDay,MohammadAliBhuiyan_Provisional,REP,REP_AbsenteebyMail,REP_AdvanceinPerson,REP_ElectionDay,REP_Provisional,RaginEdwards,RaginEdwards_AbsenteebyMail,RaginEdwards_AdvanceinPerson,RaginEdwards_ElectionDay,RaginEdwards_Provisional,RebeccaQuigg,RebeccaQuigg_AbsenteebyMail,RebeccaQuigg_AdvanceinPerson,RebeccaQuigg_ElectionDay,RebeccaQuigg_Provisional,RichardKeatley,RichardKeatley_AbsenteebyMail,RichardKeatley_AdvanceinPerson,RichardKeatley_ElectionDay,RichardKeatley_Provisional,RonSlotin,RonSlotin_AbsenteebyMail,RonSlotin_AdvanceinPerson,RonSlotin_ElectionDay,RonSlotin_Provisional,WilliamLlop,WilliamLlop_AbsenteebyMail,WilliamLlop_AdvanceinPerson,WilliamLlop_ElectionDay,WilliamLlop_Provisional
ASHFORD DUNWOODY RD,1,0,0,1,0,2,0,0,2,0,1,0,0,1,0,71,1,3,67,0,4,0,1,3,0,752,53,152,545,2,114,5,9,99,1,15,0,0,15,0,2,0,0,2,0,744,53,152,537,2,109,0,4,105,0,287,4,17,266,0,5,0,0,5,0,1,0,0,1,0,1,0,0,1,0,620,10,35,574,1,0,0,0,0,0,2,0,0,2,0,2,0,0,2,0,4,0,0,4,0,11,0,1,10,0
ASHFORD PARK ELEM,2,0,0,2,0,3,0,0,3,0,0,0,0,0,0,63,0,5,58,0,3,0,0,3,0,554,35,78,441,0,85,1,6,77,1,3,0,0,3,0,2,0,0,2,0,551,35,78,438,0,49,0,1,48,0,192,4,7,180,1,3,0,0,3,0,2,0,0,2,0,1,0,0,1,0,408,5,19,382,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,1,0,0,1,0,4,0,0,4,0
ASHFORD PARKSIDE,4,0,1,3,0,0,0,0,0,0,1,0,1,0,0,58,0,7,51,0,3,0,1,2,0,761,45,157,559,0,113,0,22,91,0,15,0,0,15,0,5,0,2,3,0,745,45,156,544,0,77,0,6,71,0,259,6,25,228,0,2,0,0,2,0,8,0,1,7,0,3,0,0,3,0,540,6,62,472,0,6,0,1,5,0,1,0,0,1,0,1,0,0,1,0,8,0,0,8,0,2,0,0,2,0
AUSTIN,1,0,1,0,0,2,0,0,2,0,0,0,0,0,0,145,0,15,130,0,14,0,1,13,0,581,46,261,272,2,206,9,70,127,0,18,0,3,15,0,1,0,1,0,0,569,45,258,264,2,108,1,17,90,0,318,7,78,232,1,8,1,2,5,0,17,0,3,14,0,1,0,0,1,0,840,18,189,632,1,1,0,1,0,0,2,0,0,2,0,3,0,0,3,0,6,1,2,3,0,3,0,0,3,0
BRIARLAKE ELEM,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,53,0,10,43,0,2,0,0,2,0,574,43,117,413,1,62,5,3,54,0,6,0,0,6,0,1,0,0,1,0,570,43,117,409,1,102,0,8,94,0,134,3,12,119,0,2,0,1,1,0,1,0,0,1,0,0,0,0,0,0,363,8,34,321,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,0,0,2,0,1,0,0,1,0
BRIARWOOD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,1,32,0,1,0,0,1,0,565,41,75,448,1,48,0,1,47,0,7,0,0,7,0,0,0,0,0,0,561,41,75,444,1,40,1,1,38,0,93,0,3,90,0,0,0,0,0,0,3,0,0,3,0,5,0,0,5,0,231,1,6,224,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0,3,0,1,0,0,1,0
BROOKHAVEN,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,71,1,3,67,0,1,0,0,1,0,746,32,108,605,1,111,0,3,108,0,14,0,0,14,0,0,0,0,0,0,733,31,108,593,1,66,1,1,63,1,207,1,12,194,0,3,0,0,3,0,6,0,0,6,0,1,0,0,1,0,485,3,19,462,1,2,0,0,2,0,2,1,0,1,0,2,0,0,2,0,7,0,0,7,0,3,0,0,3,0
CHAMBLEE,1,0,0,1,0,2,0,0,2,0,0,0,0,0,0,33,1,0,32,0,1,0,0,1,0,384,13,63,308,0,33,1,5,27,0,6,0,1,5,0,1,0,0,1,0,379,12,63,304,0,20,0,0,20,0,60,0,3,57,0,3,0,0,3,0,2,0,0,2,0,3,0,0,3,0,166,2,9,155,0,2,0,0,2,0,2,1,0,1,0,0,0,0,0,0,1,0,0,1,0,3,0,0,3,0
CHAMBLEE 2,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,54,1,5,48,0,5,1,1,3,0,678,37,230,409,2,107,0,18,89,0,7,0,0,7,0,1,0,0,1,0,669,37,229,401,2,32,0,2,30,0,150,1,15,132,2,2,0,0,2,0,2,0,0,2,0,0,0,0,0,0,369,3,41,323,2,0,0,0,0,0,1,0,0,1,0,2,0,0,2,0,6,0,1,5,0,9,0,0,9,0
CHESNUT ELEM,4,0,0,4,0,4,0,0,4,0,1,0,0,1,0,47,0,7,40,0,2,0,0,2,0,529,34,183,309,3,65,2,17,46,0,11,0,1,10,0,5,0,0,5,0,519,32,179,305,3,29,1,2,26,0,96,0,24,72,0,0,0,0,0,0,2,0,0,2,0,1,0,0,1,0,259,3,51,205,0,3,1,1,1,0,0,0,0,0,0,1,0,1,0,0,6,1,2,3,0,2,0,0,2,0
