precinct,ballotsCast,totalVoters
AP01A,752,1805
AP01B,192,707
AP01C,814,2074
AP01D,237,774
AP02B,98,368
AP03,164,669
AP04A,764,1531
AP04B,167,376
AP05,1734,4073
AP06,721,1720
AP07A,1155,2979
AP07B,606,1415
AP09A,1436,3784
AP09B,288,750
AP021,1112,2652
AP022,742,1969
AP10,407,891
AP12A,183,576
AP12B,157,590
AP12C,447,1202
AP13,849,2364
AP14,1283,2768
JC01,1723,4425
JC02,686,1943
JC03A,202,489
JC03B,506,1262
JC04A,1520,3831
JC04B,80,249
JC05,737,1967
JC06,851,2462
JC07,1514,3681
JC08,1028,2533
JC09,1060,2658
JC10,775,2073
JC11,1208,2939
JC12,1116,2284
JC13A,944,1950
JC13B,130,259
JC14,905,2299
JC15,250,707
JC16,1015,2321
JC18,1196,2545
JC19,1486,3400
ML011,906,2162
ML012,216,449
ML01B,41,94
ML021,649,1730
ML022,86,219
ML023,541,1353
ML024,26,98
ML03,1415,3441
ML04A,615,1604
ML04B,508,1120
ML04C,32,75
ML05A,12,35
ML05B,130,341
ML05C,1340,3683
ML06A,416,1650
ML06B,885,2513
ML071,40,89
ML072,429,1028
ML07A,253,634
MP01,245,430
RW01,2176,4374
RW02,1798,3599
RW03,1571,3910
RW04,988,1707
RW05,571,1919
RW06,1224,2598
RW07A,254,1251
RW07B,123,350
RW08,1001,2047
RW09,2566,5522
RW10,1611,3065
RW11A,1080,2402
RW12,2445,5462
RW13,1640,3292
RW16,789,1733
RW17,1081,2534
RW19,840,1885
RW20,1208,2317
RW21,1413,2963
RW22A,1042,3712
SS01,1497,2787
SS02A,460,1063
SS02B,432,1115
SS03,601,1250
SS04,1056,2885
SS05,964,1689
SS06,633,1247
SS07A,395,841
SS07B,194,477
SS07C,233,701
SS08A,388,1159
SS08B,256,599
SS08C,187,553
SS08D,347,1110
SS09A,578,2829
SS11A,1115,3392
SS11B,360,1089
SS11C,53,234
SS12,992,2429
SS15A,504,2260
SS15B,455,1442
SS16,1036,1914
SS17,1321,3201
SS18A,324,590
SS18B,115,212
SS19A,812,2679
SS19B,660,1932
SS20,561,1790
SS22,894,2481
SS25,659,1484
SS26,783,3061
SS29A,942,2383
SS31,430,960
