precinct,AlexanderHernandez,AlexanderHernandez_AbsenteebyMail,AlexanderHernandez_AdvanceinPerson,AlexanderHernandez_ElectionDay,AlexanderHernandez_Provisional,AmyKremer,AmyKremer_AbsenteebyMail,AmyKremer_AdvanceinPerson,AmyKremer_ElectionDay,AmyKremer_Provisional,AndrePollard,AndrePollard_AbsenteebyMail,AndrePollard_AdvanceinPerson,AndrePollard_ElectionDay,AndrePollard_Provisional,BobGray,BobGray_AbsenteebyMail,BobGray_AdvanceinPerson,BobGray_ElectionDay,BobGray_Provisional,BruceLevell,BruceLevell_AbsenteebyMail,BruceLevell_AdvanceinPerson,BruceLevell_ElectionDay,BruceLevell_Provisional,DEM,DEM_AbsenteebyMail,DEM_AdvanceinPerson,DEM_ElectionDay,DEM_Provisional,DanMoody,DanMoody_AbsenteebyMail,DanMoody_AdvanceinPerson,DanMoody_ElectionDay,DanMoody_Provisional,DavidAbroms,DavidAbroms_AbsenteebyMail,DavidAbroms_AdvanceinPerson,DavidAbroms_ElectionDay,DavidAbroms_Provisional,IND,IND_AbsenteebyMail,IND_AdvanceinPerson,IND_ElectionDay,IND_Provisional,JonOssoff,JonOssoff_AbsenteebyMail,JonOssoff_AdvanceinPerson,JonOssoff_ElectionDay,JonOssoff_Provisional,JudsonHill,JudsonHill_AbsenteebyMail,JudsonHill_AdvanceinPerson,JudsonHill_ElectionDay,JudsonHill_Provisional,KarenHandel,KarenHandel_AbsenteebyMail,KarenHandel_AdvanceinPerson,KarenHandel_ElectionDay,KarenHandel_Provisional,KeithGrawert,KeithGrawert_AbsenteebyMail,KeithGrawert_AdvanceinPerson,KeithGrawert_ElectionDay,KeithGrawert_Provisional,KurtWilson,KurtWilson_AbsenteebyMail,KurtWilson_AdvanceinPerson,KurtWilson_ElectionDay,KurtWilson_Provisional,MohammadAliBhuiyan,MohammadAliBhuiyan_AbsenteebyMail,MohammadAliBhuiyan_AdvanceinPerson,MohammadAliBhuiyan_ElectionDay,MohammadAliBhuiyan_Provisional,REP,REP_AbsenteebyMail,REP_AdvanceinPerson,REP_ElectionDay,REP_Provisional,RaginEdwards,RaginEdwards_AbsenteebyMail,RaginEdwards_AdvanceinPerson,RaginEdwards_ElectionDay,RaginEdwards_Provisional,RebeccaQuigg,RebeccaQuigg_AbsenteebyMail,RebeccaQuigg_AdvanceinPerson,RebeccaQuigg_ElectionDay,RebeccaQuigg_Provisional,RichardKeatley,RichardKeatley_AbsenteebyMail,RichardKeatley_AdvanceinPerson,RichardKeatley_ElectionDay,RichardKeatley_Provisional,RonSlotin,RonSlotin_AbsenteebyMail,RonSlotin_AdvanceinPerson,RonSlotin_ElectionDay,RonSlotin_Provisional,WilliamLlop,WilliamLlop_AbsenteebyMail,WilliamLlop_AdvanceinPerson,WilliamLlop_ElectionDay,WilliamLlop_Provisional
AP01A,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,82,2,15,64,1,0,0,0,0,0,330,18,159,151,2,90,0,27,62,1,6,0,2,4,0,0,0,0,0,0,326,18,159,147,2,12,0,2,10,0,224,4,68,151,1,0,0,0,0,0,7,0,1,6,0,0,0,0,0,0,422,6,115,298,3,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0
AP01B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,12,0,0,0,0,0,0,119,2,53,62,2,21,0,11,10,0,0,0,0,0,0,0,0,0,0,0,114,1,52,59,2,2,0,0,2,0,36,0,10,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,22,51,0,1,0,0,1,0,3,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
AP01C,1,0,0,1,0,3,0,2,1,0,0,0,0,0,0,99,0,23,76,0,1,0,1,0,0,379,11,195,171,2,68,3,25,40,0,7,0,2,5,0,1,0,0,1,0,373,10,194,167,2,27,1,9,17,0,209,1,65,141,2,1,0,0,1,0,18,0,7,11,0,1,0,1,0,0,434,5,135,292,2,0,0,0,0,0,1,0,0,1,0,3,0,1,2,0,2,1,0,1,0,0,0,0,0,0
AP01D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,2,13,0,0,0,0,0,0,144,8,57,79,0,13,0,2,11,0,0,0,0,0,0,0,0,0,0,0,144,8,57,79,0,7,0,1,6,0,53,1,11,41,0,0,0,0,0,0,2,0,2,0,0,1,0,1,0,0,91,1,19,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AP02B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,4,0,0,0,0,0,0,53,10,14,29,0,7,1,3,3,0,1,0,0,1,0,0,0,0,0,0,53,10,14,29,0,5,0,1,4,0,26,1,5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,2,11,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AP03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,4,6,0,0,0,0,0,0,123,5,19,99,0,9,0,1,8,0,1,0,0,1,0,0,0,0,0,0,120,5,19,96,0,4,0,0,4,0,12,0,0,11,1,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,41,1,5,34,1,2,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AP04A,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,88,1,32,55,0,5,0,3,2,0,291,14,176,101,0,118,1,45,72,0,5,0,2,3,0,0,0,0,0,0,286,13,172,101,0,24,0,7,17,0,214,4,70,140,0,3,0,2,1,0,9,0,3,6,0,4,0,3,0,1,472,6,168,297,1,3,1,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1,0,1,0,0
AP04B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,4,20,0,1,0,0,1,0,70,2,43,25,0,15,0,3,12,0,5,0,0,5,0,0,0,0,0,0,68,2,41,25,0,8,0,1,7,0,44,0,12,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,20,77,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AP05,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,210,0,42,167,1,1,0,0,1,0,723,19,317,383,4,171,0,46,125,0,11,0,4,7,0,0,0,0,0,0,711,19,312,376,4,67,0,18,49,0,536,4,112,420,0,5,0,2,3,0,6,0,1,5,0,2,0,0,2,0,1011,4,226,780,1,3,0,1,2,0,6,0,3,3,0,0,0,0,0,0,3,0,1,2,0,0,0,0,0,0
AP06,0,0,0,0,0,4,0,2,2,0,1,0,1,0,0,88,0,26,62,0,4,0,2,2,0,286,10,157,118,1,79,0,26,53,0,6,0,2,4,0,1,0,1,0,0,282,10,157,114,1,25,0,11,14,0,219,0,71,148,0,0,0,0,0,0,7,0,1,6,0,0,0,0,0,0,434,0,141,293,0,3,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0
AP07A,1,0,0,1,0,2,0,0,2,0,1,0,0,1,0,122,2,25,95,0,2,0,0,2,0,586,16,212,357,1,138,0,29,109,0,6,0,3,3,0,2,0,0,2,0,576,14,209,352,1,18,0,0,18,0,267,0,45,221,1,2,0,0,2,0,6,0,0,6,0,0,0,0,0,0,567,2,104,460,1,4,0,1,3,0,5,2,1,2,0,1,0,1,0,0,0,0,0,0,0,4,0,2,2,0
AP07B,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,71,0,11,60,0,1,0,0,1,0,266,6,122,137,1,82,0,29,53,0,6,0,0,6,0,0,0,0,0,0,263,6,119,137,1,19,0,2,17,0,145,0,40,105,0,0,0,0,0,0,12,0,0,12,0,0,0,0,0,0,340,0,84,256,0,2,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,1,1,0
AP09A,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,183,2,45,136,0,3,0,2,1,0,707,28,317,360,2,120,1,43,76,0,6,0,2,4,0,1,0,1,0,0,695,28,310,355,2,40,0,12,28,0,367,2,102,261,2,1,0,0,1,0,8,0,2,6,0,0,0,0,0,0,728,5,208,513,2,6,0,4,2,0,4,0,3,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0
AP09B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,12,19,0,1,0,0,1,0,176,2,101,72,1,15,0,5,10,0,0,0,0,0,0,0,0,0,0,0,172,2,97,72,1,5,0,3,2,0,57,0,14,43,0,1,0,1,0,0,0,0,0,0,0,2,0,1,1,0,112,0,36,76,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0
AP021,1,0,0,1,0,12,1,2,9,0,0,0,0,0,0,161,0,17,144,0,2,0,0,2,0,525,16,234,273,2,109,1,36,72,0,11,0,3,8,0,1,0,0,1,0,513,16,230,265,2,35,0,5,30,0,238,0,56,181,1,1,0,0,1,0,9,0,0,9,0,3,0,0,3,0,585,2,120,462,1,7,0,2,5,0,2,0,1,1,0,2,0,1,1,0,1,0,0,1,0,4,0,1,3,0
AP022,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,61,0,14,47,0,0,0,0,0,0,425,15,164,243,3,73,0,22,51,0,4,0,2,2,0,0,0,0,0,0,417,15,163,236,3,34,1,1,31,1,135,0,32,103,0,1,0,0,1,0,6,0,0,6,0,2,0,0,2,0,317,1,72,243,1,5,0,0,5,0,1,0,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
AP10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,8,34,0,2,0,0,2,0,167,3,85,78,1,35,0,11,24,0,7,0,1,6,0,0,0,0,0,0,166,3,85,77,1,15,0,2,12,1,132,0,28,104,0,2,0,0,2,0,2,0,0,2,0,1,0,0,1,0,240,0,50,189,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,2,0
AP12A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,14,0,0,0,0,0,0,116,3,38,75,0,13,0,2,11,0,2,0,1,1,0,0,0,0,0,0,114,3,37,74,0,5,0,1,4,0,32,1,9,22,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,67,1,13,53,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AP12B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,0,123,4,37,81,1,4,0,1,3,0,1,0,0,1,0,0,0,0,0,0,120,4,37,78,1,5,0,0,5,0,16,0,6,10,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,34,0,7,26,1,2,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AP12C,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,63,0,11,52,0,0,0,0,0,0,188,10,79,99,0,60,0,17,43,0,6,0,3,3,0,0,0,0,0,0,186,10,78,98,0,13,0,0,13,0,114,0,28,86,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,259,0,60,199,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0
AP13,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,101,0,19,81,1,0,0,0,0,0,462,14,187,261,0,77,0,31,46,0,8,0,3,5,0,2,0,0,2,0,456,14,184,258,0,19,0,4,15,0,173,2,44,127,0,1,0,0,1,0,6,0,1,5,0,0,0,0,0,0,385,2,102,280,1,2,0,1,1,0,0,0,0,0,0,2,0,1,1,0,2,0,1,1,0,0,0,0,0,0
AP14,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,162,1,34,127,0,3,0,1,2,0,623,27,282,312,2,121,4,40,77,0,8,0,1,7,0,2,0,0,2,0,616,26,280,308,2,31,0,4,27,0,323,0,92,231,0,1,0,1,0,0,4,0,1,3,0,3,0,1,2,0,658,5,176,477,0,2,0,1,1,0,2,1,1,0,0,0,0,0,0,0,3,0,0,3,0,2,0,1,1,0
JC01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244,3,42,198,1,6,0,2,4,0,1028,30,429,565,4,114,3,27,83,1,9,1,2,6,0,0,0,0,0,0,1010,30,422,554,4,28,0,5,23,0,282,3,58,219,2,2,0,0,2,0,5,0,0,5,0,1,0,0,1,0,694,10,136,544,4,13,0,5,8,0,2,0,2,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,3,0
JC02,1,0,0,1,0,3,0,2,1,0,0,0,0,0,0,94,0,23,71,0,2,0,2,0,0,356,5,139,206,6,77,3,30,44,0,10,0,3,7,0,1,0,0,1,0,344,5,136,198,5,22,0,4,18,0,113,2,17,93,1,2,0,1,1,0,3,0,0,3,0,1,0,0,1,0,328,5,82,240,1,10,0,3,6,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
JC03A,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,31,0,13,17,1,0,0,0,0,0,106,1,53,52,0,14,0,5,9,0,2,0,1,1,0,2,0,0,2,0,106,1,53,52,0,3,0,1,2,0,44,1,12,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,1,32,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JC03B,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,53,1,12,40,0,2,0,1,1,0,308,7,112,187,2,34,0,12,22,0,2,0,0,2,0,0,0,0,0,0,299,7,109,181,2,4,0,0,4,0,94,0,20,74,0,0,0,0,0,0,5,0,2,3,0,3,0,1,2,0,198,1,48,149,0,7,0,3,4,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
JC04A,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,213,2,57,153,1,0,0,0,0,0,837,20,443,368,6,129,0,55,74,0,15,0,8,7,0,0,0,0,0,0,819,19,431,363,6,44,1,14,29,0,266,2,75,189,0,2,0,0,2,0,6,0,1,5,0,5,0,1,4,0,683,5,211,466,1,7,1,6,0,0,6,0,5,1,0,3,0,0,3,0,2,0,1,1,0,1,0,0,1,0
JC04B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,3,7,0,0,0,0,0,0,44,2,16,26,0,12,0,4,8,0,0,0,0,0,0,0,0,0,0,0,43,1,16,26,0,1,0,0,1,0,11,0,5,6,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,36,0,12,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
JC05,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,102,0,29,73,0,0,0,0,0,0,413,6,195,208,4,47,0,23,24,0,4,0,1,3,0,0,0,0,0,0,403,6,188,205,4,18,0,3,15,0,140,0,41,99,0,1,0,0,1,0,5,0,1,4,0,2,0,1,1,0,323,0,99,224,0,5,0,4,1,0,4,0,2,2,0,1,0,1,0,0,0,0,0,0,0,2,0,0,2,0
JC06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0,26,112,0,3,0,2,1,0,320,12,121,187,0,153,0,46,106,1,5,0,1,4,0,0,0,0,0,0,311,11,118,182,0,54,0,16,38,0,175,4,42,129,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,0,531,4,134,392,1,3,0,1,2,0,5,1,2,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
JC07,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,247,4,55,188,0,6,0,0,6,0,847,30,354,460,3,137,0,41,96,0,8,0,2,6,0,0,0,0,0,0,838,30,349,456,3,46,0,10,35,1,209,1,43,162,3,1,0,0,1,0,7,0,3,4,0,4,0,3,1,0,667,5,157,501,4,5,0,3,2,0,2,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
JC08,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,139,0,36,103,0,2,0,0,2,0,513,12,237,264,0,108,0,49,59,0,4,0,3,1,0,0,0,0,0,0,498,12,229,257,0,32,0,7,25,0,216,0,62,154,0,4,1,1,2,0,6,0,0,6,0,1,0,0,1,0,515,1,158,356,0,5,0,4,1,0,7,0,4,3,0,2,0,0,2,0,1,0,0,1,0,2,0,0,2,0
JC09,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,93,0,24,69,0,2,0,0,2,0,609,14,246,349,0,90,0,26,64,0,13,0,5,8,0,0,0,0,0,0,594,14,236,344,0,38,0,7,31,0,195,1,43,151,0,1,0,1,0,0,13,0,4,9,0,3,0,2,1,0,451,1,114,336,0,8,0,6,2,0,3,0,2,1,0,2,0,0,2,0,2,0,2,0,0,1,0,0,1,0
JC10,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,103,0,22,81,0,3,0,1,2,0,436,14,169,252,1,65,2,32,31,0,6,0,2,4,0,0,0,0,0,0,425,14,163,247,1,19,0,4,15,0,131,1,27,103,0,3,0,0,3,0,6,0,0,6,0,0,0,0,0,0,339,3,89,247,0,5,0,4,1,0,1,0,0,1,0,2,0,1,1,0,3,0,1,2,0,1,0,0,1,0
JC11,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,268,1,59,208,0,1,0,0,1,0,500,29,185,286,0,162,0,47,114,1,10,0,5,5,0,0,0,0,0,0,494,29,182,283,0,46,0,8,38,0,212,2,32,175,3,2,0,1,1,0,3,0,0,3,0,1,0,0,1,0,707,3,152,548,4,4,0,3,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0
JC12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,2,43,179,0,1,0,0,1,0,330,17,116,194,3,253,1,56,196,0,9,0,1,8,0,0,0,0,0,0,322,17,113,189,3,52,1,4,47,0,235,1,40,194,0,1,0,0,1,0,8,0,3,5,0,1,0,0,1,0,784,5,147,632,0,5,0,1,4,0,2,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
JC13A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307,2,71,234,0,0,0,0,0,0,257,11,89,156,1,203,0,61,139,3,7,0,3,4,0,0,0,0,0,0,253,11,88,153,1,18,0,2,16,0,138,0,28,108,2,3,0,0,3,0,2,0,0,2,0,1,0,0,1,0,684,2,165,512,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,5,0,0,5,0
JC13B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,4,6,37,0,0,0,0,0,0,20,0,3,17,0,33,0,16,17,0,0,0,0,0,0,0,0,0,0,0,20,0,3,17,0,3,0,3,0,0,24,0,5,19,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,110,4,32,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0
