precinct,ballotsCast,totalVoters
Addison 01,1305,2184
Bells Ferry 02,1484,2708
Bells Ferry 03,2478,5249
Blackwell 01,1322,2369
Chattahoochee 01,770,2528
Chestnut Ridge 01,2020,2866
Dickerson 01,1772,2626
Dodgen 01,1311,1927
Davis 01,1083,1829
Eastside 01,1855,2781
Eastside 02,2492,3725
Elizabeth 02,1227,2171
Elizabeth 03,1530,2479
Elizabeth 04,1267,2531
Elizabeth 05,1625,2667
East Piedmont 01,186,310
Fullers Park 01,2007,3105
Garrison Mill 01,1667,2510
Gritters 01,1961,3564
Hightower 01,2519,3848
Kell 01,1031,1811
Lassiter 01,2039,3328
Mabry 01,1069,1573
Murdock 01,2391,3635
McCleskey 01,1050,1607
Marietta 5A,186,838
Marietta 6A,263,766
Marietta 6B,1473,2492
Marietta 7A,214,581
Mount Bethel 01,2534,3778
Mount Bethel 03,1844,2876
Mount Bethel 04,1826,2765
Nicholson 01,1203,2211
Powers Ferry 01,61,142
Post Oak 01,2108,3334
Pope 01,1803,2836
Palmer 01,604,1212
Rocky Mount 01,1842,3007
Roswell 01,3416,5010
Roswell 02,2298,3402
Sandy Plains 01,1545,2593
Shallowford Falls 01,2090,3080
Simpson 01,1097,1772
Sewell Mill 01,1949,3054
Sewell Mill 03,1946,4129
Sope Creek 01,1394,2011
Sope Creek 02,2306,4062
Sope Creek 03,1671,2716
Timber Ridge 01,1591,2299
Willeo 01,1768,2673
