precinct,DEM,DEM_AbsenteebyMail,DEM_AdvanceinPerson,DEM_ElectionDay,DEM_Provisional,JonOssoff,JonOssoff_AbsenteebyMail,JonOssoff_AdvanceinPerson,JonOssoff_ElectionDay,JonOssoff_Provisional,KarenHandel,KarenHandel_AbsenteebyMail,KarenHandel_AdvanceinPerson,KarenHandel_ElectionDay,KarenHandel_Provisional,REP,REP_AbsenteebyMail,REP_AdvanceinPerson,REP_ElectionDay,REP_Provisional
Addison 01,568,88,107,373,0,568,88,107,373,0,737,75,123,539,0,737,75,123,539,0
Bells Ferry 02,679,99,140,440,0,679,99,140,440,0,805,61,116,628,0,805,61,116,628,0
Bells Ferry 03,1056,199,233,624,0,1056,199,233,624,0,1419,139,208,1072,0,1419,139,208,1072,0
Blackwell 01,632,120,154,358,0,632,120,154,358,0,689,63,106,520,0,689,63,106,520,0
Chattahoochee 01,616,104,184,328,0,616,104,184,328,0,153,18,40,95,0,153,18,40,95,0
Chestnut Ridge 01,732,192,150,390,0,732,192,150,390,0,1287,104,224,959,0,1287,104,224,959,0
Dickerson 01,719,150,209,360,0,719,150,209,360,0,1053,85,250,718,0,1053,85,250,718,0
Dodgen 01,488,110,113,265,0,488,110,113,265,0,822,73,199,550,0,822,73,199,550,0
Davis 01,449,92,80,277,0,449,92,80,277,0,634,42,85,507,0,634,42,85,507,0
Eastside 01,762,215,230,317,0,762,215,230,317,0,1090,124,302,664,0,1090,124,302,664,0
Eastside 02,1020,215,262,543,0,1020,215,262,543,0,1470,132,370,968,0,1470,132,370,968,0
Elizabeth 02,515,86,125,304,0,515,86,125,304,0,711,81,170,460,0,711,81,170,460,0
Elizabeth 03,603,136,183,284,0,603,136,183,284,0,926,106,228,592,0,926,106,228,592,0
Elizabeth 04,728,147,181,400,0,728,147,181,400,0,538,38,115,385,0,538,38,115,385,0
Elizabeth 05,749,167,163,419,0,749,167,163,419,0,876,75,152,649,0,876,75,152,649,0
East Piedmont 01,54,7,15,32,0,54,7,15,32,0,132,4,28,100,0,132,4,28,100,0
Fullers Park 01,856,190,222,444,0,856,190,222,444,0,1148,106,252,790,0,1148,106,252,790,0
Garrison Mill 01,693,133,129,431,0,693,133,129,431,0,973,72,154,747,0,973,72,154,747,0
Gritters 01,822,125,156,541,0,822,125,156,541,0,1139,115,227,797,0,1139,115,227,797,0
Hightower 01,987,231,211,545,0,987,231,211,545,0,1531,152,312,1067,0,1531,152,312,1067,0
Kell 01,428,67,63,298,0,428,67,63,298,0,603,74,91,438,0,603,74,91,438,0
Lassiter 01,727,88,159,480,0,727,88,159,480,0,1311,118,242,951,0,1311,118,242,951,0
Mabry 01,345,54,62,229,0,345,54,62,229,0,724,53,124,547,0,724,53,124,547,0
Murdock 01,929,176,195,558,0,929,176,195,558,0,1462,118,290,1054,0,1462,118,290,1054,0
McCleskey 01,400,73,77,250,0,400,73,77,250,0,649,37,98,514,0,649,37,98,514,0
Marietta 5A,155,18,53,84,0,155,18,53,84,0,31,4,11,16,0,31,4,11,16,0
Marietta 6A,183,32,51,100,0,183,32,51,100,0,80,10,31,39,0,80,10,31,39,0
Marietta 6B,768,153,206,409,0,768,153,206,409,0,704,59,177,468,0,704,59,177,468,0
Marietta 7A,132,31,37,64,0,132,31,37,64,0,82,15,27,40,0,82,15,27,40,0
Mount Bethel 01,1010,229,287,494,0,1010,229,287,494,0,1523,174,371,978,0,1523,174,371,978,0
Mount Bethel 03,813,227,258,328,0,813,227,258,328,0,1031,106,376,549,0,1031,106,376,549,0
Mount Bethel 04,712,187,214,311,0,712,187,214,311,0,1113,149,328,636,0,1113,149,328,636,0
Nicholson 01,483,68,69,346,0,483,68,69,346,0,719,67,90,562,0,719,67,90,562,0
Powers Ferry 01,33,7,9,17,0,33,7,9,17,0,28,3,5,20,0,28,3,5,20,0
Post Oak 01,715,116,127,472,0,715,116,127,472,0,1393,126,208,1059,0,1393,126,208,1059,0
Pope 01,733,138,183,412,0,733,138,183,412,0,1070,129,209,732,0,1070,129,209,732,0
Palmer 01,193,19,33,141,0,193,19,33,141,0,411,37,72,302,0,411,37,72,302,0
Rocky Mount 01,722,119,117,486,0,722,119,117,486,0,1118,64,149,905,0,1118,64,149,905,0
Roswell 01,1373,365,343,665,0,1373,365,343,665,0,2042,231,440,1371,0,2042,231,440,1371,0
Roswell 02,941,247,200,494,0,941,247,200,494,0,1357,144,285,928,0,1357,144,285,928,0
Sandy Plains 01,707,150,135,422,0,707,150,135,422,0,838,83,136,619,0,838,83,136,619,0
Shallowford Falls 01,821,129,216,476,0,821,129,216,476,0,1269,104,252,913,0,1269,104,252,913,0
Simpson 01,463,78,104,281,0,463,78,104,281,0,634,65,92,477,0,634,65,92,477,0
Sewell Mill 01,878,185,236,457,0,878,185,236,457,0,1070,110,282,678,0,1070,110,282,678,0
Sewell Mill 03,971,172,253,546,0,971,172,253,546,0,973,108,212,653,0,973,108,212,653,0
Sope Creek 01,527,103,122,302,0,527,103,122,302,0,866,82,196,588,0,866,82,196,588,0
Sope Creek 02,1000,192,254,554,0,1000,192,254,554,0,1305,144,323,838,0,1305,144,323,838,0
Sope Creek 03,613,117,156,340,0,613,117,156,340,0,1057,87,225,745,0,1057,87,225,745,0
Timber Ridge 01,658,140,156,362,0,658,140,156,362,0,933,96,186,651,0,933,96,186,651,0
Willeo 01,672,135,139,398,0,672,135,139,398,0,1096,104,177,815,0,1096,104,177,815,0
