precinct,DEM,DEM_AbsenteebyMail,DEM_AdvanceinPerson,DEM_ElectionDay,DEM_Provisional,JonOssoff,JonOssoff_AbsenteebyMail,JonOssoff_AdvanceinPerson,JonOssoff_ElectionDay,JonOssoff_Provisional,KarenHandel,KarenHandel_AbsenteebyMail,KarenHandel_AdvanceinPerson,KarenHandel_ElectionDay,KarenHandel_Provisional,REP,REP_AbsenteebyMail,REP_AdvanceinPerson,REP_ElectionDay,REP_Provisional
AP01A,457,68,277,112,0,457,68,277,112,0,619,32,420,167,0,619,32,420,167,0
AP01B,167,16,105,46,0,167,16,105,46,0,123,3,92,28,0,123,3,92,28,0
AP01C,532,54,365,113,0,532,54,365,113,0,693,45,458,190,0,693,45,458,190,0
AP01D,198,23,111,64,0,198,23,111,64,0,159,8,96,55,0,159,8,96,55,0
AP02B,92,28,43,21,0,92,28,43,21,0,89,22,46,21,0,89,22,46,21,0
AP03,184,15,82,87,0,184,15,82,87,0,52,1,20,31,0,52,1,20,31,0
AP04A,397,41,264,92,0,397,41,264,92,0,638,39,422,177,0,638,39,422,177,0
AP04B,114,11,76,27,0,114,11,76,27,0,132,5,87,40,0,132,5,87,40,0
AP05,991,95,614,282,0,991,95,614,282,0,1499,58,891,550,0,1499,58,891,550,0
AP06,422,51,292,79,0,422,51,292,79,0,637,21,457,159,0,637,21,457,159,0
AP07A,765,87,457,221,0,765,87,457,221,0,867,47,465,355,0,867,47,465,355,0
AP07B,376,29,242,105,0,376,29,242,105,0,527,14,336,177,0,527,14,336,177,0
AP09A,1039,140,600,299,0,1039,140,600,299,0,1118,65,714,339,0,1118,65,714,339,0
AP09B,263,19,183,61,0,263,19,183,61,0,177,3,121,53,0,177,3,121,53,0
AP021,727,38,513,176,0,727,38,513,176,0,845,48,521,276,0,845,48,521,276,0
AP022,594,61,379,154,0,594,61,379,154,0,494,30,311,153,0,494,30,311,153,0
AP10,225,16,177,32,0,225,16,177,32,0,335,9,233,93,0,335,9,233,93,0
AP12A,174,14,107,53,0,174,14,107,53,0,108,2,65,41,0,108,2,65,41,0
AP12B,175,17,90,68,0,175,17,90,68,0,71,2,32,37,0,71,2,32,37,0
AP12C,287,32,170,85,0,287,32,170,85,0,389,29,267,93,0,389,29,267,93,0
